Keyword,Content
appareils électroménagers,Débranchez les cordons électriques après utilisation et rangez-les.
violence domestique,Appelez le 112 en cas de danger.
environnement domestique,Appelez un adulte avant d'ouvrir la porte lorsqu'un inconnu arrive.
Maladies infectieuses,Couvrez votre bouche avec votre manche lorsque vous toussez.
extorsion,"Si on te demande de faire quelque chose que tu n'aimes pas, parles-en à un adulte de confiance."
Protection des renseignements personnels,Protégez vous-même vos précieuses informations en toute sécurité.
dépendance aux jeux vidéo,Jouez avec plaisir pendant la durée promise chaque jour.
dépendance aux jeux vidéo,"Après avoir joué, courez et jouez dehors avec enthousiasme !"
dépendance aux jeux vidéo,Lisez un livre intéressant ou faites de l'exercice au lieu de jouer à des jeux.
vacances d'hiver,"Faire régulièrement de l'exercice à l'intérieur, même pendant les vacances d'hiver"
sports d'hiver,Skiez en portant des gants robustes et un équipement de protection
hiver,Habillez-vous chaudement pour éviter d'avoir froid.
Glace de la vallée,"Observer uniquement avec les yeux, sans monter sur la glace"
escaliers,"Marchez lentement, en vous tenant à la rampe, un pas à la fois."
Incendie d'immeuble de grande hauteur,"En cas d'incendie, évacuez par les escaliers plutôt que par l'ascenseur."
fracture,Demandez de l'aide à l'enseignant sans bouger la zone blessée.
laboratoire scientifique,Manipulez les instruments expérimentaux avec précaution dans le laboratoire scientifique.
tourmenter,Entretenez de bonnes relations avec vos amis et utilisez des mots gentils.
classe,Marcher légèrement dans la salle de classe
carrefour,Regardez à gauche et à droite avant de traverser lorsque le feu passe au vert.
trafic,Traversez la route lentement et regardez autour de vous.
accident de la route,"Avant de traverser la route, arrêtez-vous et vérifiez si des voitures arrivent."
accident de la route,"Si le ballon roule sur la route, demandez de l'aide à un adulte."
sécurité routière,"Lorsque vous marchez, regardez droit devant vous."
sécurité routière,"Vérifiez que la voiture est arrêtée, levez la main et traversez."
sécurité routière,Regardez à gauche et à droite au passage piéton et traversez prudemment.
Interdiction de fumer,"Si vous voyez de la fumée de cigarette, bouchez-vous le nez et éloignez-vous."
Interdiction de fumer,"Affirmez clairement que vous n'aimez pas les cigarettes, qui sont nocives pour votre corps."
Extorsion d'argent et de biens de valeur,Signalez immédiatement à votre professeur si vous avez besoin d'aide.
toux,Il est judicieux de se couvrir la bouche avec sa manche lorsqu'on tousse.
crise climatique,Réduisez les déchets et économisez l'électricité pour la planète.
Accident de piégeage,Faites attention à ne pas vous coincer les mains dans les portes ou les interstices des escaliers.
jouer,Jouer gentiment avec ses amis en respectant les tours de rôle
parc d'attractions,Attachez votre ceinture de sécurité d'un clic lorsque vous faites du manège.
manèges,Vérifiez minutieusement les dispositifs de sécurité avant de partir.
aire de jeux,Glissez sur le toboggan en position assise.
journée enneigée,Sortez vos mains de vos poches et marchez prudemment sur les routes enneigées.
Réduisez votre consommation de sucre.,Buvez de l'eau froide plutôt que des boissons sucrées
itinéraire d'évacuation,Repérez à l'avance les panneaux indiquant les sorties de secours.
jeu d'argent,"Les jeux d'argent sont dangereux, alors n'y jouez pas."
jeu d'argent,Jouer à des jeux sains avec des amis au lieu de parier de l'argent
grippe,Lavez-vous souvent les mains et portez un masque pour votre santé.
serpent venimeux,"Si vous apercevez un serpent en montagne, éloignez-vous discrètement pour l'éviter."
animal,Même les animaux mignons ne doivent pas être touchés avec négligence ; contentez-vous de les regarder.
sécurité animale,Ne vous approchez pas des animaux inconnus
Le trajet aller-retour à l'école,Empruntez le trottoir sécurisé pour aller à l'école.
Le trajet aller-retour à l'école,Rangez votre smartphone pendant un moment lorsque vous marchez.
Sur le chemin de l'école et en revenant,"Empruntez des sentiers sécurisés, loin des routes."
intimidation,Jouer gentiment avec tous les amis
L'intimidation entre pairs,Respectez vos amis et entretenez de bonnes relations.
choses chaudes,Soufflez sur les aliments chauds pour les refroidir avant de les manger avec précaution.
Malbeom,Lavez-vous soigneusement les mains après avoir touché des animaux.
multiprise,N'utilisez les prises électriques que dans la mesure où cela est nécessaire.
Pincement de porte,"En fermant la porte, veillez à ne pas vous coincer les doigts."
objets en chute libre,Demandez à un adulte de descendre les objets qui se trouvent en hauteur.
Jeux d'eau,Portez un gilet de sauvetage solide lorsque vous jouez dans l'eau
Jeux d'eau,Ne jouez dans l'eau que dans les zones sécurisées et évitez les eaux profondes.
Jeux d'eau,Ne nagez pas dans les zones de forts courants.
poussières fines,Portez un masque et restez en bonne santé les jours de mauvaise qualité de l'air.
matériel d'art,Remettez les ciseaux et les couteaux à leur place après utilisation.
salle d'art,Portez des lunettes de sécurité et protégez vos yeux lorsque vous effectuez des expériences.
enfant disparu accident,"Si vous perdez vos parents, attendez à cet endroit."
Jeux d'eau de mer,Observez uniquement les zones à fortes vagues et n'y entrez pas.
Natation en eau libre,Portez toujours un gilet de sauvetage lorsque vous jouez en mer
animaux de compagnie,Demandez la permission au propriétaire avant de toucher l'animal.
vacances,"Couchez-vous tôt et levez-vous tôt, même pendant les vacances."
volet coupe-feu,Ne passez pas sous le volet descendant.
bus,"Lorsque vous prenez le bus, mettez-vous en file indienne et attendez votre tour."
Monter dans le bus,"Lorsque le bus s'arrête complètement, montez et descendez lentement."
piqûre d'abeille,"Si vous voyez une abeille, ne la dérangez pas et éloignez-vous discrètement."
marche,Marchez en toute confiance sur le trottoir sécurisé plutôt que sur la route.
sécurité des piétons,Ne regardez pas votre téléphone en marchant
Randonnée printanière,Portez des vêtements longs et faites attention aux insectes lorsque vous allez en montagne.
Jouer avec le feu,Laissez les briquets et les allumettes aux adultes.
jour de pluie,"Lorsque vous utilisez un parapluie, tenez-le de manière à bien voir devant vous."
ISSUE DE SECOURS,Vérifiez à l'avance le panneau vert indiquant la sortie de secours.
accident d'avion,Écoutez attentivement les annonces des agents de bord dans l'avion.
Sécurité aérienne,Attachez votre ceinture de sécurité dès que vous vous asseyez.
cyberintimidation,Utilisez un langage poli et courtois même sur Internet.
cyberintimidation,"Lorsque vous rédigez des commentaires, tenez compte des sentiments de votre ami."
Respect de la vie,Chérissez également les petits animaux et les plantes.
Natation de survie,"Si vous tombez à l'eau, ne paniquez pas et détendez votre corps."
Sécurité des personnes,Marcher sur des routes sombres avec ses parents
expédition,"Avant d'embarquer sur un bateau, vérifiez d'abord votre gilet de sauvetage."
violences sexuelles,"Si quelqu'un fait quelque chose qui vous déplaît, dites-le clairement."
violences sexuelles,Criez fort si quelqu'un essaie de me toucher le corps
amputation du doigt,Faites toujours attention à ne pas vous coincer la main dans la porte.
Lavage des mains,Lavez-vous soigneusement les mains avec du savon.
natation,"Exercices d'échauffement avant d'entrer dans l'eau, un, deux, un."
smartphone,Ne regardez pas votre smartphone dans le noir.
smartphone,J'ai promis de n'utiliser mon smartphone que pendant une durée déterminée.
Patins,Portez des genouillères et des gants lorsque vous patinez.
ski,Portez toujours un casque et skiez en toute sécurité en station de ski.
ascenseur,Restez immobile dans l'ascenseur
ascenseur,Utilisez l'ascenseur en toute sécurité sans vous appuyer sur les portes.
intoxication alimentaire,Lavez-vous soigneusement les mains avant de manger des collations.
intoxication alimentaire,Faites bien cuire vos aliments et lavez-vous les mains.
nourriture,Jetez les aliments périmés au lieu de les consommer.
violence physique,Parler à ses amis au lieu de jouer avec son corps
Statue d'intérieur,Habillez-vous chaudement par temps froid et faites attention à ne pas attraper froid.
Prévention des personnes disparues,"Si vous vous perdez, arrêtez-vous là et attendez."
arrêt cardiaque,"Si vous voyez une personne effondrée, appelez le 119"
gouffre,"Si vous voyez un gouffre, mettez-vous en sécurité."
traîneau,Conduisez une luge en toute sécurité dans une zone inhabitée
maltraitance d'enfants,"Si un ami semble avoir des difficultés, parlez-en à son professeur."
maltraitance d'enfants,"Si un de vos amis souffre, parlez-en à un adulte."
couloir d'appartement,"Ne courez pas dans le couloir, marchez doucement."
