Keyword,Content
家用电器,使用后请拔掉电源线并收好。
家庭暴力,遇到危险时请拨打112寻求帮助
家庭环境,陌生人来访时，请先呼唤一位成年人再开门
传染病,咳嗽时用袖子捂住嘴
勒索,如果你被要求做你不喜欢的事情，请告诉一位值得信赖的成年人。
个人信息保护,请自行妥善保管您的重要信息。
游戏成瘾,每天只在承诺的时间内快乐地玩游戏
游戏成瘾,玩游戏结束后，兴奋地在外面跑来跑去玩耍。
游戏成瘾,与其玩游戏，不如读一本有趣的书或做做运动。
寒假,即使在寒假期间也要定期进行室内锻炼
冬季运动,滑雪时请佩戴结实的手套和防护装备
冬天,穿暖和点，以免着凉
山谷冰,仅用肉眼观看，无需上冰。
楼梯,慢慢走，扶着扶手，一步一步来。
高层建筑火灾,如果发生火灾，请走楼梯而不是乘坐电梯疏散。
断裂,不要移动受伤部位，向老师寻求帮助
科学实验室,在科学实验室中小心操作实验工具
折磨,与朋友和睦相处，多说友善的话语。
课堂,在教室里轻盈地行走
十字路口,绿灯亮起时，过马路前先左右看看。
交通,过马路时要慢走并环顾四周。
交通事故,过马路时，要停下来观察是否有车辆驶来。
交通事故,如果球滚到路上了，请向大人寻求帮助。
交通安全,走路时，目视前方。
交通安全,确认车辆已停稳后，举手示意，然后过马路。
交通安全,观察人行横道的左右两侧，安全过马路。
禁止抽烟,如果看到香烟烟雾，请捂住鼻子并远离。
禁止抽烟,明确表示你不喜欢香烟，因为香烟对你的身体有害。
勒索钱财和贵重物品,如果需要帮助，请立即告诉老师。
咳嗽,咳嗽时用袖子捂住嘴巴是比较贴心的做法。
气候危机,减少浪费，节约用电，造福地球。
夹伤事故,小心别让手被门缝或楼梯缝隙夹住。
玩,和朋友们友好地轮流玩耍。
游乐园,乘坐游乐设施时，请咔哒一声系好安全带。
游乐设施,出发前请彻底检查安全装置。
操场,坐着滑滑梯。
下雪天,把手从口袋里拿出来，在雪路上小心行走。
减少糖的摄入,用冷水代替甜饮料
疏散路线,提前留意紧急出口标志。
赌博,涉及金钱的游戏很危险，所以不要玩。
赌博,和朋友一起玩有益身心的游戏，而不是赌博。
流感,为了您的健康，请勤洗手并佩戴口罩。
蝮,如果你在山里看到蛇，悄悄地往后退，避开它。
动物,即使是可爱的动物也不应该随意触摸；只要用眼睛看就好。
动物安全,不要靠近不熟悉的动物
上学和放学的路,上学路上要走安全的人行道。
上学和放学的路,走路时请暂时把智能手机收起来。
在上下学的路上,走远离公路的安全小路
欺凌,与所有朋友友好相处
同伴欺凌,尊重朋友，与朋友和睦相处。
热门话题,食用前，请先对着热食吹凉，然后小心食用。
马尔贝姆,接触动物后要彻底洗手。
电源插座,仅在必要时使用电源插座。
门夹,关门时，注意不要夹到手指。
坠落物,请大人帮忙把高处的东西拿下来。
玩水,在水中玩耍时要穿上结实的救生衣。
玩水,请仅在安全区域玩水，并避开深水区。
玩水,不要在水流湍急的区域游泳。
细粉尘,空气质量差的日子里，戴上口罩，保持健康
美术用品,使用后请将剪刀和刀具放回原位。
艺术教室,进行实验时，请佩戴安全眼镜并保护眼睛。
儿童失踪事故,如果你走失了父母，就在那个地方等待。
海水嬉戏,只观察浪大的区域，不要进入。
公开水域游泳,在海里玩耍时一定要穿救生衣。
宠物,触摸动物前请先询问主人。
假期,即使在假期，也要早睡早起。
防火卷帘,不要从下降的快门下方穿过
公共汽车,乘坐公交车时，请排成一队，耐心等待轮到自己。
登上巴士,公交车完全停稳后，请缓慢上下车。
蜜蜂蜇伤,如果你看到蜜蜂，不要打扰它，轻轻地避开它。
步行,自信地走在安全的人行道上，而不是马路上。
行人安全,走路时不要看手机。
春季远足,去山区时要穿长袖衣裤，并注意防虫。
玩火,打火机和火柴还是留给大人用吧。
雨天,使用雨伞时，要握住伞柄，以便能清楚地看到前方。
紧急出口,请提前查看绿色紧急出口标志。
飞机事故,仔细聆听飞机上乘务员的广播。
飞机安全,坐下后立即系好安全带。
网络欺凌,即使在互联网上也要使用礼貌友善的语言。
网络欺凌,写评论时，要顾及朋友的感受。
尊重生命,也要珍惜小型动物和植物。
生存游泳,如果你掉进水里，不要惊慌，放松身体。
生命安全,和父母一起走在漆黑的路上
船运,登船前，请先检查救生衣。
性暴力,如果有人做了你不喜欢的事情，要明确地表达你的不满。
性暴力,如果有人试图触摸我的身体，请大声喊叫
手指截肢,务必小心，别让你的手被门夹住。
洗手,用肥皂泡沫彻底洗手。
游泳,下水前的热身运动，一、二、一。
手机,不要在黑暗中看你的智能手机。
手机,我承诺只在规定的时间内使用我的智能手机。
冰鞋,滑冰时要戴护膝和手套。
滑雪,在滑雪场滑雪时，务必佩戴头盔并注意安全。
举起,在电梯里保持静止。
举起,安全乘坐电梯，不要倚靠电梯门。
食物中毒,吃零食前请彻底洗手。
食物中毒,食物要彻底煮熟，并且要洗手。
食物,过期食品应该扔掉而不是吃掉。
肢体暴力,和朋友聊天而不是玩弄他们的身体
室内雕像,天气冷的时候要穿暖和些，注意别着凉。
预防失踪人员,如果你迷路了，就停在那里等着。
心脏停搏,如果你看到有人倒地，请拨打119
天坑,如果看到塌陷坑，请转移到安全的地方。
雪橇,在无人居住区安全乘坐雪橇
虐待儿童,如果朋友看起来遇到了困难，请告诉老师。
虐待儿童,如果你有朋友正在经历痛苦，请告诉一位成年人。
公寓走廊,不要在走廊里奔跑，要轻声慢步。
眼科疾病,如果眼睛发痒，不要揉搓，滴入眼药水。
安全驾驶习惯,骑自行车时要遵守交通信号灯并降低速度。
户外水上游乐,在成人的陪伴下，在安全深度的水中玩耍
户外植物,不要食用不明的花朵或果实
户外活动,在户外玩耍后要彻底洗手洗脚。
大约,只服用父母给你的药。
药物,服药须经成人许可。
言语辱骂,对朋友只说漂亮、友善的话语
言语辱骂,用赞美的话语让朋友感觉良好
言语辱骂,对朋友要使用尊重和体贴的语言。
言语辱骂,多用鼓励的话语，少用刻薄的话语。
自动扶梯,握紧把手，站在黄线内。
自动扶梯,在自动扶梯上站姿端正，不要嬉戏打闹。
空调,为了您的健康，请将空调温度调至中等水平。
夏天,炎热天气要经常喝水保持水分。
网络犯罪,永远不要点击陌生人发送的链接。
浴室,浴室地面很滑，请慢慢走。
锻炼,运动前要充分热身。
操场,在操场上要小心，别撞到朋友。
水上乐园,在游泳池底部缓慢行走，不要奔跑
绑架,当陌生人请你走时，要说“不”。
绑架,礼貌地拒绝陌生人的礼物
防止绑架,大声喊道：“你绝不能被陌生人带走。”
玻璃门,注意安全，不要在玻璃门前玩耍。
食物,多吃健康均衡的食物，增强体质。
酒后驾车,为开车的父母们加油，鼓励他们安全驾驶
急救,如果朋友受伤了，请立即告诉大人。
衣服,把湿衣服换成干衣服
直排轮滑鞋,务必佩戴安全装备，并在平坦的路面上骑行。
问候,热情地向老师和朋友们问好
问候,早上告诉家人你爱他们。
互联网,请勿在互联网上发布您的姓名或地址。
中暑,阳光强烈时，戴上帽子，在阴凉处休息。
自动体外除颤器,学习如何在紧急情况下拯救生命
汽车,打开车门时，请再次检查车后部。
汽车信号灯,如果绿灯闪烁，请等待下一个信号。
乘车,车停稳后，下车前先左右看看。
自行车,骑自行车时请佩戴头盔，并在安全的地方骑行。
自行车,在安全、无车的公园里骑自行车。
自行车,你必须下车推行自行车通过人行横道。
自行车,骑自行车时要佩戴尺寸合适的头盔。
页,不要嬉戏打闹，要认真听老师讲课。
玩具,玩小玩具时不要把它们放进嘴里。
玩具,玩完玩具后，请将其放回盒子里。
雨季,下大雨时，走路要避开水坑。
