Keyword,Content
peralatan rumah tangga,Cabut kabel listrik setelah digunakan dan simpan di tempatnya.
kekerasan dalam rumah tangga,Hubungi 112 untuk meminta bantuan jika dalam bahaya.
lingkungan rumah,Hubungi orang dewasa sebelum membuka pintu saat ada orang asing datang.
Penyakit menular,Tutup mulutmu dengan lengan bajumu saat batuk.
pemerasan,"Jika Anda diminta melakukan sesuatu yang tidak Anda sukai, beri tahu orang dewasa yang dapat Anda percayai."
Perlindungan Informasi Pribadi,Lindungi informasi berharga Anda dengan aman sendiri.
Kecanduan game,Mainkan game dengan gembira hanya selama waktu yang dijanjikan setiap hari.
Kecanduan game,"Setelah bermain game, berlarian dan bermain di luar dengan gembira."
Kecanduan game,Bacalah buku yang menarik atau berolahraga daripada bermain game.
liburan musim dingin,Berolahraga secara teratur di dalam ruangan bahkan selama liburan musim dingin.
Olahraga musim dingin,"Saat bermain ski, kenakan sarung tangan yang kuat dan perlengkapan pelindung."
musim dingin,Kenakan pakaian hangat untuk mencegah masuk angin.
Lembah es,"Melihat hanya dengan mata telanjang, tanpa naik ke atas es."
tangga,"Berjalanlah perlahan, pegang pegangan tangga, selangkah demi selangkah."
Kebakaran gedung tinggi,"Jika terjadi kebakaran, evakuasilah melalui tangga, bukan lift."
patah,Mintalah bantuan guru tanpa menggerakkan area yang cedera.
laboratorium sains,Tangani peralatan percobaan dengan hati-hati di laboratorium sains.
menyiksa,Jalin hubungan baik dengan teman-temanmu dan gunakan kata-kata yang baik.
kelas,Berjalan dengan ringan di dalam kelas.
persimpangan,Lihat ke kiri dan ke kanan sebelum menyeberang saat lampu hijau menyala.
lalu lintas,Berjalanlah perlahan dan lihat sekeliling saat menyeberang jalan.
kecelakaan lalu lintas,"Saat menyeberang jalan, berhentilah dan periksa apakah ada mobil yang datang."
kecelakaan lalu lintas,Mintalah bantuan orang dewasa jika bola menggelinding ke jalan.
Keselamatan lalu lintas,"Saat berjalan, lihatlah lurus ke depan."
Keselamatan lalu lintas,"Pastikan mobil sudah berhenti, angkat tangan, dan menyeberang."
Keselamatan lalu lintas,Lihatlah ke kiri dan ke kanan di penyeberangan dan menyeberanglah dengan aman.
DILARANG MEROKOK,"Jika Anda melihat asap rokok, tutupi hidung Anda dan jauhi tempat tersebut."
DILARANG MEROKOK,"Nyatakan dengan jelas bahwa Anda tidak menyukai rokok, karena rokok berbahaya bagi tubuh Anda."
Pemerasan uang dan barang berharga,Segera beri tahu guru Anda jika Anda membutuhkan bantuan.
batuk,Sebaiknya tutupi mulut Anda dengan lengan baju saat batuk.
krisis iklim,Kurangi limbah dan hemat listrik demi kelestarian planet.
Kecelakaan terjebak,Berhati-hatilah agar tangan Anda tidak terjepit di pintu atau celah tangga.
bermain,Bermain dengan baik bersama teman-teman sambil bergiliran.
taman hiburan,Kencangkan sabuk pengaman Anda dengan bunyi klik saat menaiki wahana.
wahana hiburan,Periksa perangkat keselamatan secara menyeluruh sebelum berangkat.
tempat bermain,Naiki perosotan sambil duduk tegak.
hari bersalju,Keluarkan tanganmu dari saku dan berjalanlah dengan hati-hati di jalanan yang bersalju.
Kurangi asupan gula,Minumlah air dingin sebagai pengganti minuman manis.
JALUR EVAKUASI,Carilah tanda-tanda pintu keluar darurat terlebih dahulu.
