Keyword,Content
ev aletleri,Kullanımdan sonra elektrik kablolarını fişten çekin ve kaldırın.
aile içi şiddet,Tehlike durumunda yardım için 112'yi arayın.
ev ortamı,Yabancı biri geldiğinde kapıyı açmadan önce bir yetişkine seslenin.
Bulaşıcı hastalıklar,Öksürürken ağzınızı kolunuzla kapatın.
gasp,"Hoşunuza gitmeyen bir şey yapmanız istenirse, güvendiğiniz bir yetişkine söyleyin."
Kişisel Bilgilerin Korunması,Değerli bilgilerinizi kendiniz güvenli bir şekilde koruyun.
Oyun bağımlılığı,Her gün yalnızca vaat edilen süre boyunca keyifle oyun oynayın.
Oyun bağımlılığı,"Oyun oynadıktan sonra, dışarıda heyecanla koşup oynayın."
Oyun bağımlılığı,Oyun oynamak yerine ilgi çekici bir kitap okuyun veya egzersiz yapın.
kış tatili,Kış tatili boyunca bile düzenli olarak kapalı alanda egzersiz yapmak
Kış sporları,Kayak yaparken sağlam eldivenler ve koruyucu ekipman giyin.
kış,Soğuk algınlığına yakalanmamak için sıcak giyinin.
Vadi buzu,"Sadece gözlerle izlemek, buzun üzerine çıkmadan."
merdiven,"Korkuluktan tutunarak, yavaş yavaş, birer birer adımlar atarak yürüyün."
Yüksek binada yangın,"Yangın çıkarsa, asansör yerine merdivenleri kullanarak tahliye olun."
kırık,Yaralı bölgeye dokunmadan öğretmenden yardım isteyin.
bilim laboratuvarı,Fen laboratuvarında deney araçlarını dikkatli kullanın.
işkence,Arkadaşlarınızla iyi geçinin ve nazik sözler kullanın.
sınıf,Sınıfta hafif adımlarla yürümek
kavşak,Yeşil ışık yandığında karşıya geçmeden önce sola ve sağa bakın.
trafik,Yavaş yürüyün ve karşıdan karşıya geçerken etrafınıza bakın.
trafik kazası,Yoldan karşıya geçerken durun ve araç gelip gelmediğini kontrol edin.
trafik kazası,Top yola yuvarlanırsa bir yetişkinden yardım isteyin.
Trafik güvenliği,"Yürürken, dümdüz ileriye bakın."
