Keyword,Content
eletrodomésticos,Desligue os cabos elétricos da tomada após o uso e guarde-os.
violência doméstica,Ligue para o 112 para obter ajuda em caso de perigo.
ambiente doméstico,Chame um adulto antes de abrir a porta quando um estranho chegar.
Doenças infecciosas,Cubra a boca com a manga ao tossir.
extorsão,"Se lhe pedirem para fazer algo que você não gosta, conte a um adulto de confiança."
Proteção de Informações Pessoais,Proteja você mesmo suas informações valiosas com segurança.
Vício em jogos,Jogue alegremente apenas pelo tempo prometido a cada dia.
Vício em jogos,"Depois de brincar, corra e brinque ao ar livre com entusiasmo."
Vício em jogos,Leia um livro interessante ou faça exercícios em vez de jogar jogos.
férias de inverno,"Praticar exercícios físicos regularmente em ambientes fechados, mesmo durante as férias de inverno."
Esportes de inverno,Esquie usando luvas resistentes e equipamentos de proteção.
inverno,Vista-se com roupas quentes para evitar o frio.
Gelo do vale,"Observando apenas com os olhos, sem subir no gelo."
escadaria,"Caminhe devagar, segurando no corrimão, um passo de cada vez."
Incêndio em prédio alto,"Em caso de incêndio, evacue pelas escadas em vez de usar o elevador."
fratura,Peça ajuda ao professor sem mover a área lesionada.
laboratório de ciências,Manuseie os instrumentos de experimentação com cuidado no laboratório de ciências.
tormento,Conviva bem com seus amigos e use palavras gentis.
sala de aula,Caminhando levemente na sala de aula
encruzilhada,Olhe para a esquerda e para a direita antes de atravessar quando o sinal verde acender.
tráfego,"Ao atravessar a rua, caminhe devagar e olhe ao redor."
acidente de trânsito,"Ao atravessar a rua, pare e verifique se estão vindo carros."
acidente de trânsito,Peça ajuda a um adulto se a bola rolar para a rua.
Segurança no trânsito,"Ao caminhar, olhe para a frente."
Segurança no trânsito,"Verifique se o carro parou, levante a mão e faça o sinal de travessão."
Segurança no trânsito,Olhe para a esquerda e para a direita na faixa de pedestres e atravesse com segurança.
Proibido fumar,"Se você vir fumaça de cigarro, tape o nariz e mantenha distância."
Proibido fumar,"Diga claramente que você não gosta de cigarros, que são prejudiciais à sua saúde."
Extorsão de dinheiro e objetos de valor,Informe imediatamente ao seu professor se precisar de ajuda.
tosse,É uma atitude atenciosa cobrir a boca com a manga ao tossir.
crise climática,Reduza o desperdício e economize energia elétrica para o planeta.
Acidente de aprisionamento,Tenha cuidado para não prender as mãos em portas ou vãos de escadas.
jogar,"Brincando amigavelmente com os amigos, respeitando a vez de cada um."
parque de diversões,Aperte o cinto de segurança com um clique ao andar de bicicleta ou em outros veículos.
brinquedos de parque de diversões,Verifique cuidadosamente os dispositivos de segurança antes de partir.
parque infantil,Deslize pelo escorregador sentado na posição vertical.
dia de neve,Retire as mãos dos bolsos e caminhe com cuidado em estradas com neve.
Reduzir o consumo de açúcar,Beba água gelada em vez de bebidas açucaradas.
rota de evacuação,Procure com antecedência as placas de saída de emergência.
jogatina,"Jogos que envolvem dinheiro são perigosos, portanto não os jogue."
jogatina,Jogar jogos saudáveis ​​com amigos em vez de apostar dinheiro.
