Keyword,Content
গৃহস্থালী সরঞ্জাম,ব্যবহারের পর বৈদ্যুতিক কর্ডগুলো খুলে রাখুন।
গার্হস্থ্য সহিংসতা,বিপদে পড়লে সাহায্যের জন্য ১১২ নম্বরে ফোন করুন।
বাড়ির পরিবেশ,কোনো অপরিচিত ব্যক্তি এলে দরজা খোলার আগে একজন প্রাপ্তবয়স্ককে ডাকুন।
সংক্রামক রোগ,কাশি দেওয়ার সময় আপনার হাতার দিয়ে মুখ ঢাকুন।
জবরদস্তি,"যদি আপনাকে এমন কিছু করতে বলা হয় যা আপনি অপছন্দ করেন, তাহলে একজন বিশ্বস্ত প্রাপ্তবয়স্ককে বলুন।"
ব্যক্তিগত তথ্য সুরক্ষা,আপনার মূল্যবান তথ্য নিজেই নিরাপদে সুরক্ষিত রাখুন।
খেলার আসক্তি,প্রতিদিন প্রতিশ্রুত সময়টুকুই আনন্দের সাথে গেম খেলুন।
খেলার আসক্তি,"খেলাধুলা করার পর, বাইরে আনন্দের সাথে দৌড়াদৌড়ি ও খেলাধুলা করো।"
খেলার আসক্তি,গেম খেলার পরিবর্তে একটি আকর্ষণীয় বই পড়ুন বা ব্যায়াম করুন।
শীতকালীন ছুটি,শীতকালীন ছুটির সময়েও ঘরের ভেতরে নিয়মিত ব্যায়াম করা
শীতকালীন খেলাধুলা,মজবুত দস্তানা এবং সুরক্ষামূলক সরঞ্জাম পরে স্কি করুন।
শীত,ঠান্ডা লাগা থেকে বাঁচতে গরম জামাকাপড় পরুন।
উপত্যকার বরফ,বরফের উপর না উঠে শুধু চোখ দিয়ে দেখা।
সিঁড়ি,"রেলিং ধরে ধীরে ধীরে, একবারে এক পা করে হাঁটুন।"
বহুতল ভবনে আগুন,আগুন লাগলে লিফটের পরিবর্তে সিঁড়ি দিয়ে বেরিয়ে যান।
ফ্র্যাকচার,আঘাতপ্রাপ্ত স্থানটি নাড়াচাড়া না করে শিক্ষকের কাছে সাহায্য চান।
বিজ্ঞান পরীক্ষাগার,বিজ্ঞান পরীক্ষাগারে পরীক্ষার সরঞ্জাম সাবধানে ব্যবহার করুন।
যন্ত্রণা,বন্ধুদের সাথে ভালোভাবে মিশুন এবং সদয় কথা বলুন।
শ্রেণীকক্ষ,শ্রেণীকক্ষে সাবধানে হাঁটা
চৌরাস্তা,সবুজ বাতি জ্বলে উঠলে রাস্তা পার হওয়ার আগে বামে ও ডানে দেখে নিন।
ট্র্যাফিক,রাস্তা পার হওয়ার সময় ধীরে হাঁটুন এবং চারপাশে দেখুন।
ট্রাফিক দুর্ঘটনা,রাস্তা পার হওয়ার সময় থামুন এবং দেখুন গাড়ি আসছে কিনা।
ট্রাফিক দুর্ঘটনা,বলটি রাস্তায় গড়িয়ে গেলে কোনো প্রাপ্তবয়স্কের সাহায্য চাও।
ট্রাফিক নিরাপত্তা,হাঁটার সময় সামনের দিকে সোজা তাকান।
ট্রাফিক নিরাপত্তা,"গাড়িটি থেমেছে কিনা দেখে নিন, হাত তুলুন এবং পার হোন।"
ট্রাফিক নিরাপত্তা,জেব্রা ক্রসিং-এ ডানে ও বামে দেখে নিরাপদে পার হোন।
ধূমপান নিষেধ।,সিগারেটের ধোঁয়া দেখলে নাক ঢেকে দূরে থাকুন।
ধূমপান নিষেধ।,"স্পষ্টভাবে বলুন যে আপনি সিগারেট পছন্দ করেন না, যা আপনার শরীরের জন্য ক্ষতিকর।"
অর্থ ও মূল্যবান সামগ্রী জবরদখল,তোমার সাহায্যের প্রয়োজন হলে অবিলম্বে তোমার শিক্ষককে বলো।
কাশি,কাশি দেওয়ার সময় জামার হাতা দিয়ে মুখ ঢেকে রাখা একটি বিবেচক কাজ।
জলবায়ু সংকট,বর্জ্য হ্রাস করুন এবং গ্রহের জন্য বিদ্যুৎ সাশ্রয় করুন।
আটকে পড়া দুর্ঘটনা,খেয়াল রাখবেন যেন দরজা বা সিঁড়ির ফাঁকে আপনার হাত আটকে না যায়।
খেলা,বন্ধুদের সাথে পালা করে সুন্দরভাবে খেলা।
বিনোদন পার্ক,রাইড করার সময় সিটবেল্টটি ক্লিক করে বেঁধে নিন।
বিনোদনমূলক রাইড,যাত্রা শুরুর আগে নিরাপত্তা সরঞ্জামগুলো ভালোভাবে পরীক্ষা করে নিন।
খেলার মাঠ,সোজা হয়ে বসে স্লাইডে চড়ুন।
তুষারময় দিন,আপনার হাত পকেট থেকে বের করুন এবং বরফ ঢাকা রাস্তায় সাবধানে হাঁটুন।
চিনি গ্রহণ কমান।,মিষ্টি পানীয়ের পরিবর্তে ঠান্ডা পানি পান করুন।
উদ্ধার পথ,জরুরি নির্গমন পথের চিহ্নগুলো আগে থেকেই দেখে নিন।
জুয়া,"টাকা-পয়সা সংক্রান্ত খেলা বিপজ্জনক, তাই সেগুলো খেলবেন না।"
জুয়া,টাকা বাজি ধরার পরিবর্তে বন্ধুদের সাথে স্বাস্থ্যকর খেলাধুলা করা
ফ্লু,আপনার স্বাস্থ্যের জন্য ঘন ঘন হাত ধোবেন এবং মাস্ক পরবেন।
বিষধর সাপ,"পাহাড়ে সাপ দেখলে, তা এড়ানোর জন্য নিঃশব্দে পিছিয়ে যান।"
পশু,সুন্দর প্রাণীদেরও অসাবধানতাবশত স্পর্শ করা উচিত নয়; শুধু চোখ দিয়ে তাদের দেখুন।
পশু নিরাপত্তা,অপরিচিত প্রাণীদের কাছে যাবেন না।
স্কুলে যাওয়া-আসার পথ,স্কুলে যাওয়ার পথে নিরাপদ ফুটপাথ দিয়ে হাঁটুন।
স্কুলে যাওয়া-আসার পথ,হাঁটার সময় কিছুক্ষণের জন্য আপনার স্মার্টফোনটি দূরে রাখুন।
স্কুলে যাওয়া-আসার পথে,রাস্তা থেকে দূরে নিরাপদ পথে হাঁটুন।
উৎপীড়ন,সকল বন্ধুদের সাথে ভালোভাবে খেলা।
সহপাঠীদের দ্বারা উৎপীড়ন,বন্ধুদের সাথে সম্মানের সাথে ব্যবহার করুন এবং মিলেমিশে থাকুন।
গরম জিনিস,সাবধানে খাওয়ার আগে গরম খাবারে ফুঁ দিয়ে তা ঠান্ডা করে নিন।
মালবেওম,পশুদের স্পর্শ করার পর ভালোভাবে হাত ধুয়ে নিন।
পাওয়ার স্ট্রিপ,প্রয়োজনমতোই বৈদ্যুতিক আউটলেট ব্যবহার করুন।
দরজার চাপ,দরজা বন্ধ করার সময় খেয়াল রাখবেন যেন আপনার আঙুল আটকে না যায়।
পতনশীল বস্তু,উঁচু জায়গা থেকে জিনিসপত্র নামিয়ে দিতে কোনো প্রাপ্তবয়স্ককে বলুন।
জল খেলা,জলে খেলার সময় মজবুত লাইফ জ্যাকেট পরুন।
জল খেলা,শুধু নিরাপদ স্থানেই পানিতে খেলুন এবং গভীর পানি এড়িয়ে চলুন।
জল খেলা,প্রবল স্রোতযুক্ত এলাকায় সাঁতার কাটবেন না।
সূক্ষ্ম ধূলিকণা,খারাপ বায়ুমানের দিনগুলিতে মাস্ক পরুন এবং সুস্থ থাকুন।
শিল্পকলার সরঞ্জাম,ব্যবহারের পর কাঁচি ও ছুরি যথাস্থানে রাখুন।
আর্ট রুম,পরীক্ষা-নিরীক্ষা করার সময় নিরাপত্তা চশমা পরুন এবং আপনার চোখ সুরক্ষিত রাখুন।
নিখোঁজ শিশুর দুর্ঘটনা,"যদি তুমি তোমার বাবা-মাকে হারিয়ে ফেলো, ঐ জায়গায় অপেক্ষা করো।"
সমুদ্রের জলে খেলা,শুধুমাত্র প্রবল ঢেউ আছে এমন এলাকাগুলো দেখুন এবং প্রবেশ করবেন না।
খোলা জলে সাঁতার,সমুদ্রে খেলার সময় সবসময় লাইফ জ্যাকেট পরুন।
পোষা প্রাণী,পশুটিকে স্পর্শ করার আগে মালিকের অনুমতি নিন।
ছুটি,ছুটির দিনেও তাড়াতাড়ি ঘুমাতে যান এবং তাড়াতাড়ি ঘুম থেকে উঠুন।
ফায়ার শাটার,নামতে থাকা শাটারের নিচ দিয়ে যাবেন না।
বাস,বাসে ওঠার সময় এক লাইনে দাঁড়িয়ে নিজের পালা আসা পর্যন্ত অপেক্ষা করুন।
বাসে চড়া,"বাস পুরোপুরি থেমে গেলে, ধীরে ধীরে উঠুন এবং নামুন।"
মৌমাছির হুল,"যদি কোনো মৌমাছি দেখেন, তবে তাকে বিরক্ত করবেন না এবং নিঃশব্দে এড়িয়ে চলুন।"
হাঁটা,রাস্তার পরিবর্তে নিরাপদ ফুটপাত দিয়ে আত্মবিশ্বাসের সাথে হাঁটুন।
পথচারী নিরাপত্তা,হাঁটার সময় ফোনের দিকে তাকাবেন না।
বসন্তকালীন হাইকিং,পাহাড়ে যাওয়ার সময় লম্বা পোশাক পরুন এবং পোকামাকড়ের ব্যাপারে সতর্ক থাকুন।
আগুন নিয়ে খেলা,লাইটার ও দেশলাই বড়দের জন্য রেখে দাও।
বৃষ্টির দিন,ছাতা ব্যবহার করার সময় এমনভাবে ধরুন যাতে সামনের সবকিছু পরিষ্কারভাবে দেখা যায়।
জরুরি নির্গমন পথ,আগে থেকেই সবুজ জরুরি নির্গমন চিহ্নটি দেখে নিন।
বিমান দুর্ঘটনা,বিমানে ফ্লাইট অ্যাটেনডেন্টদের ঘোষণাগুলো মনোযোগ দিয়ে শুনুন।
বিমানের নিরাপত্তা,বসার সাথে সাথেই আপনার সিটবেল্ট বেঁধে নিন।
সাইবারবুলিং,ইন্টারনেটেও ভদ্র ও সদয় ভাষা ব্যবহার করুন।
