Keyword,Content
家電製品,書いた電気コードを抜いて整理する
家庭内暴力,危険な場合は、112に電話して助けを受ける
家庭環境,見知らぬ人が来たら、ドアを開く前に大人を呼ぶ
感染症,咳が出るときは服の袖で口を覆う
強制,嫌なことをさせれば信じられる大人に話す
個人情報保護,大切な私の情報は自分で安全に保つ
ゲーム中毒,1日に約束した時間だけ楽しく遊ぶ
ゲーム中毒,ゲームをした後は、外で楽しんで遊ぶ
ゲーム中毒,ゲームの代わりに楽しい本を読んだり運動したりする
冬休み,冬休みでも屋内で定期的に運動する
ウィンタースポーツ,手袋と保護具をしっかりと着用し、スキーに乗る
冬の季節,暖かい服を着て着て風邪を予防する
谷の氷,氷の上には上がらず、雪だけで見る
階段,手すりをつかみ、一段ずつゆっくり歩く
高層火災,火が出たら、エレベーターの代わりに階段で避難する
骨折,けがをした場所は動かず、先生に助けを求める
科学室,科学室では実験ツールに注意して取り扱う
嫌がらせ,友達と仲良くして、馬鹿馬を書く
教室,教室では四つだけを歩き回る
交差点,緑色の火が点灯したら、左右を見て渡ります
交通,道路を渡るときは周りを見ながらゆっくり歩く
交通事故,道を渡るときは止まって車が来るか確認する
交通事故,ボールが道路に転がると、大人に助けを求める
交通安全,道を歩くときは、前をよく見て歩く
交通安全,車が止まったことを確認し、手を持ってスキップ
交通安全,横断歩道では左右を見て安全に渡る
禁煙,タバコの煙が出たら鼻をふさいで遠ざける
禁煙,体に有害なタバコは嫌だとはっきり言う
金品の渇き,助けが必要な場合は、先生に言う
咳,咳をするときは、服の袖で口を覆うセンス
気候危機,地球のためにゴミを減らし、電気を惜しむ
キム事故,ドアや階段の隙間に手が挟まないように気をつける
遊ぶ,友達とターンを守りながら仲良く遊ぶ
遊園地,乗り物に乗るときはシートベルトをカチッと詰める
乗り物,出発前に安全装置を慎重に確認する
遊び場,滑り台は正しい姿勢で座って乗る
雪の日,目では、ポケットから手を抜いて慎重に歩く
糖類を減らす,甘い飲み物の代わりに冷たい水を飲む
避難,非常口標識がどこにあるか事前に参照
ギャンブル,お金をかけているゲームは危険です。
ギャンブル,友達とのお金の代わりに健全な遊びをする
インフルエンザ,健康のために手をよく洗ってマスクを書く
蛇,山で蛇を見ると、静かに後ろを避ける
動物,かわいい動物もむやみに触れずに目で見る
動物安全,知らない動物には近づかない
背の高い道,学校への途中で安全なインドへ歩く
背の高い道,歩くときは、スマートフォンをしばらく置いておく
背中の道,茶道から遠く離れた安全な道に通う
いじめ,すべての友達と仲良く遊ぶ
仲間の嫌がらせ,友達を大切にして仲良くしてください
熱いもの,熱い食べ物はホホ吹いて慎重に食べる
馬犯,動物に触れた後は手をきれいに洗う
マルチタップ,コンセントは必要なだけ使用する
ドアを挟む,ドアを閉めるときは、手が挟まないように確認する
物品落下,高いところにあるものは大人に取り出してもらう
水遊び,水を遊ぶときは頑丈なライフジャケットを着る
水遊び,安全な場所でのみ水遊びし、深い場所を避ける
水遊び,水が強い場所では水を遊ばない
微粉,空気が悪い日にマスクをかけて健康を守る
アートツール,はさみや刀は書いてから正しい位置にまとめる
美術室,実験するときは、保安鏡を使って目を守る
ミア事故,両親を失ったらその場で待つ
海水遊び,波が強いところは目だけで見て入らない
海水泳,海では救命胴衣を必ず着て遊ぶ
ペット,動物に触れる前に、飼い主に尋ねる
休暇,休暇中も早く寝て早起き
防火シャッター,降りるシャッターの下を通らない
バス,バスに乗るときは一列に立って順番に守る
バス搭乗,バスが完全に止まるとゆっくり乗り降り
罰,蜂が見える場合は触れずに静かに避ける
歩行,茶道ではなく安全な配達でじっくり歩く
歩行安全,歩くときは携帯電話を見ない
春鉄山行き,山に行くときは、長い服を着て虫を気にする
ふざけた,ライターやマッチは大人に任せる
雨の日,傘を使うときは前がよく見えます
非常口,緑色の非常口表示を事前に確認しておく
飛行機事故,飛行機では乗組員の案内をよく聞く
飛行機の安全,席に座るとシートベルトからマギー
サイバー暴力,インターネットでも丁寧で素敵な言葉を書く
サイバー暴力,コメントするときは、友達の心を考えながら書く
生命尊重,小さな動物や植物も大切にしてください。
生存水泳,水に落ちたら慌てないで体に力を抜く
生活安全,暗い道は両親と一緒に通う
船,船に乗ったら最初に救命胴衣を確認する
性的暴力,嫌な行動をしたら嫌だとはっきり言う
性的暴力,誰が私の体に触れようとすると、大声で叫ぶ
指カット,ドアの隙間に手が挟まないように常に気をつけて
手洗い,石鹸の泡で手の隅々をきれいに洗う
水泳,水に入る前に、準備運動
スマートフォン,点滅した場所ではスマートフォンを見ない
スマートフォン,スマートフォンは決まった時間だけを使うことを約束します
スケート,スケートを脱いだときは膝の保護具と手袋を着用する
スキー,スキー場では、ヘルメットを必ず使って安全に乗る
昇降機,エレベーターの中では大人しく立っている
昇降機,エレベーターのドアに寄りかかって安全に使用する
食中毒,おやつを食べる前に手をすっぽり洗う
食中毒,食べ物は煮込み、手はきれいに洗う
食品,日付が過ぎた食べ物は食べずに捨てる
身体暴力,友達と体でいたずらずに話す
屋内像,寒い日には暖かく着用し、風邪に気をつけて
