키워드,알림장 내용,유튜브 링크,유튜브 채널,시간(분)
가전제품,다 쓴 전기코드는 뽑아서 정리하기,https://www.youtube.com/watch?v=mR5Es0KbMKE&list=PLxg0W84g7GWavuSMx7Jr8P8cWoOOdBhD9&index=9,아이쿠,7
가정폭력,위험할 때는 112에 전화해서 도움받기,https://youtu.be/Xi3D47nF67g?si=63LEDL34KTOsDqnP,우당탕탕은하안전단,11
가정환경,낯선 사람이 오면 문 열기 전에 어른 부르기,https://www.youtube.com/watch?v=nFKp8ZI4oXY&list=PLxg0W84g7GWavuSMx7Jr8P8cWoOOdBhD9&index=52,아이쿠,7
감염병,기침이 나올 땐 옷소매로 입을 가리기,https://youtu.be/jIk6x-sm8rE?si=Ov33eRE37WJNx4By,우당탕탕은하안전단,11
강요,싫은 일을 시키면 믿을 수 있는 어른에게 말하기,https://www.youtube.com/watch?v=8t-myQCxiGA&list=PLJoQWxBGOmBa0y76rhI1FE8osODr8gWSP&index=4,초등백과(동물의숲),3
개인정보보호,소중한 내 정보는 스스로 안전하게 지키기,https://youtu.be/JVAZNVv68Mo?si=OhsfIhhWu23Jty7R,안전한TV,5
게임중독,하루에 약속한 시간만큼만 즐겁게 게임하기,https://www.youtube.com/watch?v=Eu4936mQBWA&list=PLxg0W84g7GWavuSMx7Jr8P8cWoOOdBhD9&index=13,아이쿠,7
게임중독,게임을 한 뒤에는 밖에서 신나게 뛰어놀기,https://www.youtube.com/watch?v=1obiLDZ-Tt0&list=PLJuUHedy_S4-JsPjH6X7Wielj-nqzaItn&index=8,안전한TV(켈리),4
게임중독,게임 대신 재미있는 책을 읽거나 운동하기,https://www.youtube.com/watch?v=gMoWDzkfMcg&list=PLJoQWxBGOmBZj2_CkKoYVt3gAMGZJaDRY&index=5,초등백과,9
겨울방학,겨울방학에도 실내에서 규칙적으로 운동하기,https://www.youtube.com/watch?v=X_PZmYxuUIg&list=PLJuUHedy_S4-JsPjH6X7Wielj-nqzaItn&index=26,안전한TV(켈리),6
겨울스포츠,장갑과 보호장비를 튼튼하게 착용하고 스키 타기,https://www.youtube.com/watch?v=Wd9rsTkoF2g,우당탕탕은하안전단,11
겨울철,따뜻한 옷을 챙겨 입고 감기를 예방하기,https://youtu.be/jg7dvcPhLPs?si=hHAIUT5vKVeJZr1_,뽀로로,11
계곡얼음,얼음 위에는 올라가지 않고 눈으로만 보기,https://youtu.be/MFUPq7_G4g8?si=x0yIlhtaCYA7k_XW,위기탈출넘버원,18
계단,난간을 잡고 한 계단씩 천천히 걷기,https://www.youtube.com/watch?v=c0C67rIs_88&list=PLxg0W84g7GWavuSMx7Jr8P8cWoOOdBhD9&index=40,아이쿠,7
고층화재,불이 나면 엘리베이터 대신 계단으로 대피하기,https://www.youtube.com/watch?v=9vTuIS8csrs&list=PLJuUHedy_S4-JsPjH6X7Wielj-nqzaItn&index=22,안전한TV(켈리),6
골절,다친 곳은 움직이지 않고 선생님께 도움 청하기,https://www.youtube.com/watch?v=VoTP-c5Sme8&list=PL_aDqVnBXelJXWaq3n7RMqsHEmM8Dafyf&index=6,서울소방,14
과학실,과학실에서는 실험 도구를 조심조심 다루기,https://youtu.be/GLaZZR2EwBA?si=6ZlLOblrdK9fQRAc,안전한TV,6
괴롭힘,친구들과 사이좋게 지내고 고운 말 쓰기,https://www.youtube.com/watch?v=ItelaScy9uU&list=PLJoQWxBGOmBa0y76rhI1FE8osODr8gWSP&index=9,초등백과(동물의숲),3
교실,교실에서는 사뿐사뿐 걸어 다니기,https://youtu.be/jioLYzCyPHE?si=DFAArhKAE1Tg-MoU,안전한TV,7
