Keyword,Content
home appliances,Unplug electrical cords after use and put them away.
domestic violence,Call 112 for help when in danger
home environment,Call an adult before opening the door when a stranger comes
Infectious diseases,Cover your mouth with your sleeve when you cough
extortion,"If you are asked to do something you dislike, tell a trustworthy adult."
Personal Information Protection,Protect your valuable information safely yourself
Game addiction,Play games happily for only the promised amount of time each day
Game addiction,"After playing games, run around and play outside excitedly"
Game addiction,Read an interesting book or exercise instead of playing games
winter break,Exercising regularly indoors even during winter break
Winter sports,Ski while wearing sturdy gloves and protective gear
winter,Dress warmly to prevent a cold
Valley ice,"Viewing with eyes only, without going up on the ice"
stairs,"Walk slowly, holding onto the handrail, one step at a time."
High-rise fire,"If a fire breaks out, evacuate via the stairs instead of the elevator."
fracture,Ask the teacher for help without moving the injured area
science lab,Handle experiment tools carefully in the science lab
torment,Get along well with your friends and use kind words
classroom,Walking lightly in the classroom
crossroads,Look left and right before crossing when the green light turns on
traffic,Walk slowly and look around when crossing the road.
traffic accident,"When crossing the road, stop and check if cars are coming."
traffic accident,Ask an adult for help if the ball rolls onto the road
Traffic safety,"When walking, look straight ahead."
Traffic safety,"Check that the car has stopped, raise your hand, and cross."
Traffic safety,Look left and right at the crosswalk and cross safely.
No smoking,"If you see cigarette smoke, cover your nose and stay far away."
No smoking,"Say clearly that you don't like cigarettes, which are harmful to your body."
Extortion of money and valuables,Tell your teacher immediately if you need help
cough,It is thoughtful to cover your mouth with your sleeve when coughing.
climate crisis,Reduce waste and save electricity for the planet
Entrapment accident,Be careful not to get your hands caught in doors or stair gaps.
play,Playing nicely with friends while taking turns
amusement park,Fasten your seatbelt with a click when riding rides.
amusement rides,Thoroughly check the safety devices before departing.
playground,Ride the slide while sitting upright.
snowy day,Take your hands out of your pockets and walk carefully on snowy roads.
Reduce sugar intake,Drink cold water instead of sweet drinks
evacuation route,Look for the emergency exit signs in advance
gambling,"Games involving money are dangerous, so do not play them."
gambling,Playing wholesome games with friends instead of betting money
flu,Wash your hands often and wear a mask for your health.
venomous snake,"If you see a snake in the mountains, quietly back away to avoid it."
animal,Even cute animals should not be touched carelessly; just look at them with your eyes.
Animal safety,Do not go near unfamiliar animals
The way to and from school,Walk on the safe sidewalk on the way to school
The way to and from school,Put your smartphone away for a while when walking.
On the way to and from school,Walk on safe paths far from roads
bullying,Playing nicely with all friends
Peer bullying,Treat friends with respect and get along well
hot things,Blow on hot food to cool it down before eating it carefully.
Malbeom,Wash your hands thoroughly after touching animals.
power strip,Use electrical outlets only as much as necessary
Door pinch,"When closing the door, make sure your fingers do not get caught."
Falling objects,Ask an adult to get things down from high places
Water play,Wear a sturdy life jacket when playing in the water
Water play,Play in the water only in safe areas and avoid deep water.
Water play,Do not swim in areas with strong currents
fine dust,Wear a mask and stay healthy on days with bad air quality
art supplies,Put scissors and knives back in their place after use.
art room,Wear safety glasses and protect your eyes when conducting experiments.
missing child accident,"If you lose your parents, wait in that spot"
Sea water play,Look only at areas with strong waves and do not enter.
Open water swimming,Always wear a life jacket when playing in the sea
pets,Ask the owner before touching the animal
vacation,Go to bed early and wake up early even during vacation
fire shutter,Do not pass under the descending shutter
bus,"When taking the bus, stand in a single line and wait your turn."
Boarding the bus,"When the bus comes to a complete stop, get on and off slowly."
Bee sting,"If you see a bee, do not disturb it and quietly avoid it."
walking,Walk confidently on the safe sidewalk instead of the road.
pedestrian safety,Do not look at your phone while walking
Spring hiking,Wear long clothes and watch out for insects when going to the mountains.
Playing with fire,Leave lighters and matches to the adults.
rainy day,"When using an umbrella, hold it so you can see clearly ahead."
emergency exit,Check the green emergency exit sign in advance.
airplane accident,Listen carefully to the flight attendants' announcements on the airplane
Airplane safety,Fasten your seatbelt as soon as you sit down.
cyberbullying,Use polite and kind language even on the internet
cyberbullying,"When writing comments, be mindful of your friend's feelings."
Respect for life,Cherish small animals and plants as well
Survival swimming,"If you fall into the water, don't panic and relax your body."
Life Safety,Walking on dark roads with parents
shipping,"When you board a boat, check your life jacket first."
sexual violence,"If someone does something you don't like, say clearly that you don't like it."
sexual violence,Shout loudly if someone tries to touch my body
finger amputation,Always be careful not to get your hand caught in the door.
Washing hands,Wash your hands thoroughly with soap lather
swimming,"Warm-up exercises before getting in the water, one, two, one."
smartphone,Do not look at your smartphone in the dark
smartphone,I promised to use my smartphone only for a set amount of time.
Skates,Wear knee pads and gloves when skating
ski,Always wear a helmet and ski safely at the ski resort.
lift,Stand still in the elevator
lift,Use the elevator safely without leaning on the doors.
food poisoning,Wash your hands thoroughly before eating snacks
food poisoning,Cook your food thoroughly and wash your hands.
food,Throw away expired food instead of eating it.
physical violence,Talking to friends instead of playing with their bodies
Indoor statue,Dress warmly on cold days and be careful not to catch a cold.
Missing Person Prevention,"If you get lost, stop right there and wait."
cardiac arrest,"If you see a collapsed person, call 119"
sinkhole,"If you see a sinkhole, move to a safe place."
sleigh,Ride a sled safely in an uninhabited area
child abuse,"If a friend looks like they are having a hard time, tell the teacher"
child abuse,"If you have a friend who is hurting, tell an adult"
apartment hallway,"Do not run in the hallway, walk softly"
ophthalmic diseases,"If your eyes itchy, do not rub them and put in eye drops."
Safe driving habits,Obey traffic signals and reduce speed when riding a bicycle
Outdoor water play,Playing in water at a safe depth with an adult
Outdoor plants,Do not eat unknown flowers or fruits
outdoor activities,Wash your hands and feet thoroughly after playing outside.
approximately,Only take the medicine your parents give you.
drugs,Take medicine with an adult's permission.
verbal abuse,Use only pretty and kind words with your friends
verbal abuse,Giving words of praise to make a friend feel good
verbal abuse,Use respectful and considerate language towards friends
verbal abuse,Use encouraging words instead of mean ones
escalator,Hold the handle tightly and stand inside the yellow line
escalator,Stand properly on the escalator without playing around.
air conditioning,Protect your health by setting the air conditioner to a moderate temperature
summer,Drink water frequently on hot days to stay hydrated
online crime,Never click on links sent by strangers
bathroom,"The bathroom floor is slippery, so walk slowly."
work out,Warm up your body sufficiently before exercising.
playground,Be careful not to bump into friends on the playground
Water park,Walk slowly on the bottom of the swimming pool without running
kidnapping,"Saying ""No"" when a stranger asks you to go"
kidnapping,Politely refusing gifts from strangers
Kidnapping prevention,"Shout, ""You must not be taken away by strangers."""
glass door,Be careful and don't play around in front of glass doors.
food,Eat a balanced diet of healthy foods and become strong
drunk driving,Cheering on safe driving for parents who drive
First aid,"If a friend gets hurt, tell an adult immediately"
clothes,Change wet clothes into dry clothes
inline skates,Always wear safety gear and ride on a flat surface.
greeting,Greeting teachers and friends brightly
greeting,Tell your family you love them in the morning
Internet,Do not post your name or address on the internet
heatstroke,Wear a hat and rest in the shade when the sun is hot.
Automated External Defibrillator,Learn how to save lives in emergencies
automobile,Check the back one more time when opening the car door.
car signal,"If the green light blinks, wait for the next signal"
Car ride,"When the car stops, look left and right before getting out."
