Keyword,Content
เครื่องใช้ไฟฟ้าภายในบ้าน,ถอดปลั๊กไฟหลังใช้งานและเก็บให้เรียบร้อย
ความรุนแรงในครอบครัว,โทร 112 เพื่อขอความช่วยเหลือเมื่อตกอยู่ในอันตราย
สภาพแวดล้อมภายในบ้าน,หากมีคนแปลกหน้าเข้ามา ให้เรียกผู้ใหญ่ก่อนเปิดประตู
โรคติดต่อ,ควรใช้แขนเสื้อปิดปากเมื่อไอ
การรีดไถ,หากคุณถูกขอให้ทำสิ่งที่คุณไม่ชอบ ให้บอกผู้ใหญ่ที่คุณไว้ใจ
การคุ้มครองข้อมูลส่วนบุคคล,ปกป้องข้อมูลอันมีค่าของคุณอย่างปลอดภัยด้วยตัวคุณเอง
การติดเกม,เล่นเกมอย่างมีความสุขตามเวลาที่กำหนดไว้ในแต่ละวัน
การติดเกม,หลังจากเล่นเกมเสร็จแล้ว ก็วิ่งเล่นและสนุกสนานอยู่ข้างนอกกันอย่างครึกครื้น
การติดเกม,อ่านหนังสือที่น่าสนใจหรือออกกำลังกายแทนการเล่นเกม
ช่วงปิดเทอมฤดูหนาว,ออกกำลังกายเป็นประจำในบ้าน แม้ในช่วงปิดเทอมฤดูหนาว
กีฬาฤดูหนาว,เล่นสกีโดยสวมถุงมือที่แข็งแรงและอุปกรณ์ป้องกัน
ฤดูหนาว,ควรสวมเสื้อผ้าที่อบอุ่นเพื่อป้องกันหวัด
หุบเขาน้ำแข็ง,มองด้วยตาเปล่าเท่านั้น โดยไม่ต้องขึ้นไปบนน้ำแข็ง
บันได,เดินช้าๆ โดยจับราวบันไดไว้ทีละก้าว
เหตุไฟไหม้ตึกสูง,หากเกิดเพลิงไหม้ ให้รีบอพยพโดยใช้บันไดแทนลิฟต์
กระดูกหัก,ขอความช่วยเหลือจากครูโดยไม่ต้องขยับบริเวณที่บาดเจ็บ
ห้องปฏิบัติการวิทยาศาสตร์,ควรใช้เครื่องมือทดลองอย่างระมัดระวังในห้องปฏิบัติการวิทยาศาสตร์
การทรมาน,จงเข้ากันได้ดีกับเพื่อน ๆ และใช้คำพูดที่สุภาพ
ห้องเรียน,เดินอย่างเบามือในห้องเรียน
ทางแยก,มองซ้ายและขวาก่อนข้ามถนนเมื่อไฟเขียวติด
การจราจร,เดินช้าๆ และมองไปรอบๆ ขณะข้ามถนน
อุบัติเหตุจราจร,เมื่อข้ามถนน ให้หยุดและตรวจสอบดูว่ามีรถกำลังมาหรือไม่
อุบัติเหตุจราจร,หากลูกบอลกลิ้งไปบนถนน ให้ขอความช่วยเหลือจากผู้ใหญ่
ความปลอดภัยทางจราจร,ขณะเดิน ให้มองตรงไปข้างหน้า
ความปลอดภัยทางจราจร,ตรวจสอบให้แน่ใจว่ารถจอดสนิทแล้ว ยกมือขึ้น และทำเครื่องหมายกากบาท
ความปลอดภัยทางจราจร,มองซ้ายและขวาที่ทางข้าม และข้ามถนนอย่างปลอดภัย
ห้ามสูบบุหรี่,ถ้าเห็นควันบุหรี่ ให้ปิดจมูกและอยู่ห่างๆ
ห้ามสูบบุหรี่,บอกอย่างชัดเจนว่าคุณไม่ชอบบุหรี่ ซึ่งเป็นอันตรายต่อร่างกายของคุณ
การรีดไถเงินและทรัพย์สินมีค่า,ถ้าคุณต้องการความช่วยเหลือ ให้บอกครูของคุณทันที
ไอ,การใช้แขนเสื้อปิดปากขณะไอเป็นการกระทำที่แสดงถึงความเอาใจใส่
วิกฤตสภาพภูมิอากาศ,ลดปริมาณขยะและประหยัดพลังงานไฟฟ้าเพื่อโลก
อุบัติเหตุจากการติดกับดัก,ระวังอย่าให้มือติดอยู่ระหว่างประตูหรือช่องว่างระหว่างบันได
เล่น,เล่นกับเพื่อนอย่างสุภาพโดยผลัดกันเล่น
สวนสนุก,คาดเข็มขัดนิรภัยให้แน่นสนิทเมื่อโดยสารเครื่องเล่น
เครื่องเล่นสวนสนุก,ตรวจสอบอุปกรณ์ความปลอดภัยอย่างละเอียดก่อนออกเดินทาง
สนามเด็กเล่น,เล่นสไลเดอร์โดยนั่งตัวตรง
วันหิมะตก,โปรดนำมือออกจากกระเป๋าและเดินอย่างระมัดระวังบนถนนที่ปกคลุมด้วยหิมะ
ลดปริมาณการบริโภคน้ำตาล,ดื่มน้ำเย็นแทนเครื่องดื่มหวาน
เส้นทางอพยพ,โปรดสังเกตป้ายทางออกฉุกเฉินล่วงหน้า
การพนัน,เกมที่เกี่ยวข้องกับเงินนั้นอันตราย ดังนั้นอย่าเล่นเด็ดขาด
การพนัน,เล่นเกมสนุกๆ กับเพื่อนแทนการพนัน
ไข้หวัดใหญ่,ล้างมือบ่อยๆ และสวมหน้ากากอนามัยเพื่อสุขภาพของคุณ
งูพิษ,ถ้าเจองูบนภูเขา ให้ถอยห่างอย่างเงียบๆ เพื่อหลีกเลี่ยงมัน
สัตว์,แม้แต่สัตว์น่ารักก็ไม่ควรสัมผัสอย่างไม่ระมัดระวัง ควรดูพวกมันด้วยสายตามากกว่า
ความปลอดภัยของสัตว์,อย่าเข้าใกล้สัตว์ที่ไม่คุ้นเคย
เส้นทางไปและกลับจากโรงเรียน,เดินบนทางเท้าที่ปลอดภัยระหว่างทางไปโรงเรียน
เส้นทางไปและกลับจากโรงเรียน,ควรวางสมาร์ทโฟนลงสักพักขณะเดิน
ระหว่างทางไปและกลับจากโรงเรียน,เดินบนเส้นทางที่ปลอดภัยและห่างจากถนน
การกลั่นแกล้ง,เล่นกับเพื่อนทุกคนอย่างดี
การกลั่นแกล้งเพื่อนร่วมชั้น,จงเคารพเพื่อนฝูงและอยู่ร่วมกันอย่างดี
สิ่งของร้อนๆ,เป่าลมใส่ของร้อนเพื่อลดความร้อนก่อนรับประทานอย่างระมัดระวัง
มัลบอม,ล้างมือให้สะอาดทุกครั้งหลังสัมผัสสัตว์
รางปลั๊กไฟ,ใช้ปลั๊กไฟเฉพาะเมื่อจำเป็นเท่านั้น
ประตูหนีบ,เวลาปิดประตู ระวังอย่าให้มือไปติด
วัตถุตกหล่น,ขอให้ผู้ใหญ่ช่วยนำสิ่งของลงมาจากที่สูง
เล่นน้ำ,ควรสวมเสื้อชูชีพที่แข็งแรงทนทานเมื่อเล่นน้ำ
เล่นน้ำ,เล่นน้ำเฉพาะในบริเวณที่ปลอดภัยและหลีกเลี่ยงน้ำลึก
เล่นน้ำ,อย่าว่ายน้ำในบริเวณที่มีกระแสน้ำแรง
ฝุ่นละอองละเอียด,สวมหน้ากากอนามัยและดูแลสุขภาพในวันที่คุณภาพอากาศไม่ดี
อุปกรณ์ศิลปะ,ควรนำกรรไกรและมีดกลับไปวางไว้ที่เดิมหลังใช้งาน
ห้องศิลปะ,ควรสวมแว่นตานิรภัยและปกป้องดวงตาขณะทำการทดลอง
เด็กหาย อุบัติเหตุ,ถ้าพ่อแม่คุณหายไป ให้รออยู่ที่จุดนั้น
เล่นน้ำทะเล,ให้สังเกตเฉพาะบริเวณที่มีคลื่นแรง และอย่าเข้าไปใกล้
การว่ายน้ำในที่โล่ง,ควรสวมเสื้อชูชีพทุกครั้งเมื่อเล่นน้ำทะเล
สัตว์เลี้ยง,ขออนุญาตเจ้าของก่อนสัมผัสสัตว์
วันหยุด,เข้านอนเร็วและตื่นเช้า แม้ในช่วงวันหยุด
บานประตูกันไฟ,ห้ามลอดใต้บานประตูที่กำลังเลื่อนลง
รสบัส,เมื่อขึ้นรถโดยสารประจำทาง ให้ยืนต่อแถวเดียวและรอคิว
ขึ้นรถบัส,เมื่อรถบัสจอดสนิทแล้ว ให้ขึ้นและลงจากรถอย่างช้าๆ
ผึ้งต่อย,หากคุณพบเห็นผึ้ง อย่าไปรบกวนมัน และจงหลีกเลี่ยงมันอย่างเงียบๆ
เดิน,เดินอย่างมั่นใจบนทางเท้าที่ปลอดภัยแทนที่จะเดินบนถนน
ความปลอดภัยของคนเดินเท้า,อย่ามองโทรศัพท์ขณะเดิน
การเดินป่าในฤดูใบไม้ผลิ,ควรสวมเสื้อผ้าแขนยาวและระวังแมลงเมื่อไปเที่ยวภูเขา
เล่นกับไฟ,โปรดอย่าใช้ไฟแช็กและไม้ขีดไฟ
วันฝนตก,เมื่อใช้ร่ม ให้ถือร่มในตำแหน่งที่คุณสามารถมองเห็นข้างหน้าได้อย่างชัดเจน
ทางออกฉุกเฉิน,โปรดตรวจสอบป้ายทางออกฉุกเฉินสีเขียวล่วงหน้า
อุบัติเหตุเครื่องบิน,ตั้งใจฟังประกาศของพนักงานต้อนรับบนเครื่องบินให้ดี
ความปลอดภัยของเครื่องบิน,คาดเข็มขัดนิรภัยทันทีที่นั่งลง
การกลั่นแกล้งทางไซเบอร์,ควรใช้ภาษาที่สุภาพและอ่อนโยนแม้กระทั่งในโลกอินเทอร์เน็ต
การกลั่นแกล้งทางไซเบอร์,เมื่อเขียนความคิดเห็น โปรดคำนึงถึงความรู้สึกของเพื่อนของคุณด้วย
เคารพชีวิต,จงทะนุถนอมสัตว์เล็กและพืชด้วยเช่นกัน
การว่ายน้ำเพื่อการเอาชีวิตรอด,ถ้าตกลงไปในน้ำ อย่าตกใจและผ่อนคลายร่างกาย
ความปลอดภัยในชีวิต,เดินบนถนนมืดๆ กับพ่อแม่
การส่งสินค้า,เมื่อขึ้นเรือ โปรดตรวจสอบเสื้อชูชีพของคุณก่อน
ความรุนแรงทางเพศ,ถ้าใครทำอะไรที่คุณไม่ชอบ ให้พูดออกไปตรงๆ ว่าคุณไม่ชอบ
ความรุนแรงทางเพศ,ตะโกนเสียงดังถ้าใครพยายามแตะต้องตัวฉัน
การตัดนิ้ว,ควรระมัดระวังอย่าให้มือไปติดประตูเสมอ
การล้างมือ,ล้างมือให้สะอาดด้วยฟองสบู่
การว่ายน้ำ,วอร์มร่างกายก่อนลงน้ำ หนึ่ง สอง หนึ่ง
สมาร์ทโฟน,อย่ามองสมาร์ทโฟนในที่มืด
สมาร์ทโฟน,ฉันสัญญาว่าจะใช้สมาร์ทโฟนแค่ในระยะเวลาที่กำหนดเท่านั้น
รองเท้าสเก็ต,ควรสวมสนับเข่าและถุงมือขณะเล่นสเก็ต
สกี,ควรสวมหมวกกันน็อคเสมอและเล่นสกีอย่างปลอดภัยที่รีสอร์ทสกี
ยก,ยืนนิ่งๆ ในลิฟต์
ยก,โปรดใช้ลิฟต์อย่างปลอดภัยโดยไม่พิงประตู
อาหารเป็นพิษ,ล้างมือให้สะอาดก่อนรับประทานอาหารว่าง
อาหารเป็นพิษ,ปรุงอาหารให้สุกทั่วถึงและล้างมือให้สะอาด
อาหาร,ทิ้งอาหารที่หมดอายุแล้วแทนที่จะรับประทาน
ความรุนแรงทางกายภาพ,พูดคุยกับเพื่อนแทนที่จะเล่นกับร่างกายของพวกเขา
รูปปั้นในร่ม,ในวันที่อากาศหนาวเย็นควรแต่งกายให้อบอุ่นและระวังอย่าเป็นหวัด
การป้องกันบุคคลสูญหาย,ถ้าคุณหลงทาง ให้หยุดอยู่ตรงนั้นแล้วรอ
ภาวะหัวใจหยุดเต้น,หากคุณพบเห็นคนหมดสติ ให้โทร 119
หลุมยุบ,ถ้าพบเห็นหลุมยุบ ให้รีบไปยังที่ปลอดภัย
เลื่อน,ขี่เลื่อนหิมะอย่างปลอดภัยในพื้นที่รกร้าง
การทารุณกรรมเด็ก,ถ้าเพื่อนดูเหมือนกำลังมีช่วงเวลาที่ยากลำบาก ให้บอกครู
การทารุณกรรมเด็ก,หากคุณมีเพื่อนที่กำลังทุกข์ใจ โปรดบอกผู้ใหญ่
ทางเดินอพาร์ตเมนต์,อย่าวิ่งในทางเดิน เดินเบาๆ
โรคตา,หากมีอาการคันตา อย่าขยี้ตา และให้หยอดตา
พฤติกรรมการขับขี่อย่างปลอดภัย,ปฏิบัติตามสัญญาณไฟจราจรและลดความเร็วเมื่อขี่จักรยาน
การเล่นน้ำกลางแจ้ง,การเล่นน้ำในระดับความลึกที่ปลอดภัยโดยมีผู้ใหญ่คอยดูแล
พืชกลางแจ้ง,อย่ารับประทานดอกไม้หรือผลไม้ที่ไม่รู้จัก
กิจกรรมกลางแจ้ง,ล้างมือและเท้าให้สะอาดทุกครั้งหลังเล่นกลางแจ้ง
ประมาณ,กินยาที่พ่อแม่ให้เท่านั้น
ยาเสพติด,ควรรับประทานยาเมื่อได้รับอนุญาตจากผู้ใหญ่แล้ว
การด่าทอ,จงใช้คำพูดที่ไพเราะและอ่อนโยนกับเพื่อนของคุณเท่านั้น
การด่าทอ,การกล่าวคำชมเพื่อให้เพื่อนรู้สึกดี
การด่าทอ,ใช้ภาษาที่สุภาพและเอาใจใส่ต่อเพื่อนฝูง
การด่าทอ,ใช้คำพูดให้กำลังใจแทนคำพูดที่รุนแรง
บันไดเลื่อน,จับด้ามจับให้แน่นและยืนอยู่ภายในเส้นสีเหลือง
บันไดเลื่อน,ยืนให้ถูกท่าบนบันไดเลื่อน อย่าเล่นซนไปมา
เครื่องปรับอากาศ,ปกป้องสุขภาพของคุณด้วยการปรับอุณหภูมิเครื่องปรับอากาศให้อยู่ในระดับปานกลาง
ฤดูร้อน,ในวันที่อากาศร้อน ดื่มน้ำบ่อยๆ เพื่อให้ร่างกายไม่ขาดน้ำ
อาชญากรรมออนไลน์,ห้ามคลิกลิงก์ที่ส่งมาจากคนแปลกหน้าเด็ดขาด
ห้องน้ำ,พื้นห้องน้ำลื่น โปรดเดินช้าๆ
ออกกำลังกาย,ควรวอร์มร่างกายให้เพียงพอก่อนออกกำลังกาย
สนามเด็กเล่น,ระวังอย่าชนเพื่อนในสนามเด็กเล่น
สวนน้ำ,เดินช้าๆ ที่ก้นสระว่ายน้ำโดยไม่วิ่ง
การลักพาตัว,"การกล่าวว่า ""ไม่"" เมื่อคนแปลกหน้าขอให้คุณไป"
การลักพาตัว,การปฏิเสธของขวัญจากคนแปลกหน้าอย่างสุภาพ
การป้องกันการลักพาตัว,"ตะโกนว่า ""ห้ามให้คนแปลกหน้าพาตัวคุณไป"""
ประตูกระจก,โปรดระมัดระวังและอย่าเล่นซนหน้าประตูที่เป็นกระจก
อาหาร,รับประทานอาหารที่มีประโยชน์และสมดุล เพื่อสุขภาพที่ดี และร่างกายแข็งแรง
เมาแล้วขับ,สนับสนุนการขับขี่อย่างปลอดภัยสำหรับผู้ปกครองที่ขับรถ
ปฐมพยาบาล,ถ้าเพื่อนได้รับบาดเจ็บ ให้บอกผู้ใหญ่ทันที
เสื้อผ้า,เปลี่ยนเสื้อผ้าเปียกเป็นเสื้อผ้าแห้ง
รองเท้าสเก็ตอินไลน์,ควรสวมอุปกรณ์ป้องกันทุกครั้งและขี่บนพื้นราบเท่านั้น
การทักทาย,ทักทายครูและเพื่อนๆ อย่างสดใส
การทักทาย,บอกรักครอบครัวของคุณในตอนเช้า
อินเทอร์เน็ต,อย่าโพสต์ชื่อหรือที่อยู่ของคุณบนอินเทอร์เน็ต
โรคลมแดด,ควรสวมหมวกและพักผ่อนในที่ร่มเมื่อแดดจัด
เครื่องกระตุ้นหัวใจภายนอกอัตโนมัติ,เรียนรู้วิธีช่วยชีวิตในสถานการณ์ฉุกเฉิน
รถยนต์,ตรวจสอบด้านหลังอีกครั้งก่อนเปิดประตูรถ
สัญญาณรถยนต์,ถ้าไฟสีเขียวกะพริบ ให้รอสัญญาณถัดไป
นั่งรถ,เมื่อรถหยุดแล้ว ให้มองซ้ายและขวาก่อนลงจากรถ
จักรยาน,ควรสวมหมวกกันน็อคและปั่นจักรยานในสถานที่ที่ปลอดภัย
จักรยาน,ปั่นจักรยานในสวนสาธารณะที่ปลอดภัยและปลอดรถยนต์
จักรยาน,คุณต้องลงจากจักรยานและจูงจักรยานข้ามทางม้าลาย
จักรยาน,ควรสวมหมวกกันน็อกที่กระชับพอดีเมื่อขี่จักรยาน
หน้าหนังสือ,อย่าเล่นซนและตั้งใจฟังครู
ของเล่น,เล่นกับของเล่นชิ้นเล็กๆ โดยไม่เอาเข้าปาก
ของเล่น,เก็บของเล่นลงกล่องหลังจากเล่นเสร็จแล้ว
ฤดูฝน,ควรเดินระวังแอ่งน้ำเมื่อฝนตกหนัก
การอพยพในกรณีภัยพิบัติ,เมื่ออยู่ในสถานการณ์อันตราย โปรดฟังประกาศอย่างตั้งใจและอพยพออกจากพื้นที่
ไฟฟ้า,มองดูสายไฟด้วยตาเปล่าเท่านั้น ห้ามสัมผัสเด็ดขาด
ไฟฟ้า,อย่าสัมผัสเครื่องใช้ไฟฟ้าหากมือเปียก
ไฟฟ้า,ควรใช้มือที่แห้งในการจับสายไฟอย่างปลอดภัย
แผ่นทำความร้อนไฟฟ้า,ควรฝึกนิสัยปิดผ้าห่มไฟฟ้าก่อนออกไปข้างนอกเสมอ
เต้ารับไฟฟ้า,การสัมผัสปลั๊กไฟด้วยมือที่เปียกเป็นอันตราย
ครัว,อย่าเข้าใกล้ขณะทำอาหารเพราะมันร้อน
ลานจอดรถ,เดินจูงมือกับพ่อแม่ของคุณอย่างระมัดระวัง และระวังรถยนต์ในลานจอดรถด้วย
การออกกำลังกายวอร์มร่างกาย,ควรวอร์มร่างกายสักหนึ่งหรือสองท่าก่อนออกกำลังกาย
อุบัติเหตุจากการวางยาพิษ,ห้ามสัมผัสผงซักฟอกหรือสารเคมี และให้เรียกผู้ใหญ่มาช่วยเหลือ
แผ่นดินไหว,เมื่อเกิดแผ่นดินไหว ให้มุดใต้โต๊ะ
ความปลอดภัยจากแผ่นดินไหว,หากโต๊ะสั่น ให้มุดลงไปใต้โต๊ะเพื่อป้องกันตัวเอง
รถไฟใต้ดิน,เมื่อใช้บริการรถไฟใต้ดิน ให้ยืนต่อแถวและรอถึงคิวของคุณ
สำลัก,กินช้าๆ และเคี้ยวให้ละเอียด
จิมจิลบัง-คอร์เน็กซ์,หลับตาลงและผ่อนคลายในห้องซาวน่า
การขึ้นรถ,เด็กที่เจ๋งที่สุดคือเด็กที่คาดเข็มขัดนิรภัยเป็นอย่างแรกเมื่อขึ้นรถ
วิชาพลศึกษา,ตั้งใจฟังครูและปฏิบัติตามคำแนะนำของครูในระหว่างเรียนวิชาพลศึกษา
ชน,เล่นอย่างปลอดภัยโดยไม่ต้องปีนขึ้นที่สูง
เลือดออก,ถ้าเลือดไหล ให้กดให้แน่นด้วยผ้าสะอาด
สุขภาพช่องปาก,แปรงฟันหลังรับประทานอาหาร
การตั้งแคมป์,โปรดระมัดระวังเรื่องไฟ และอยู่กับผู้ใหญ่ในบริเวณที่ตั้งแคมป์
การตั้งแคมป์,โปรดระมัดระวังและอย่าเข้าใกล้บริเวณที่มีการจุดไฟ
คิกบอร์ด,ควรสวมหมวกกันน็อคเมื่อขี่สกูตเตอร์ และควรขี่ในบริเวณที่ห้ามรถยนต์วิ่ง
คิกบอร์ด,ขี่สกูตเตอร์ในสวนสาธารณะที่ปลอดภัย โดยสวมอุปกรณ์ป้องกัน
ไต้ฝุ่น,เมื่อพายุไต้ฝุ่นใกล้เข้ามา ควรหลีกเลี่ยงการออกไปข้างนอกและอยู่บ้านเพื่อความปลอดภัย
ไต้ฝุ่น,ถ้าลมแรงมาก ให้ปิดหน้าต่างและอยู่แต่ในบ้าน
ไต้ฝุ่น,ควรอยู่บ้านเมื่อมีลมแรงและฝนตก
ไต้ฝุ่น,หากมีข่าวเกี่ยวกับพายุไต้ฝุ่น โปรดอยู่บ้านกับครอบครัวของคุณ
หน้าต่างกระจกไต้ฝุ่น,อย่าอยู่ใกล้หน้าต่างเมื่อมีพายุไต้ฝุ่นพัดแรง
คลื่นความร้อน,ในวันที่อากาศร้อนจัด ควรดื่มน้ำเย็นและพักผ่อนบ้าง
คลื่นความร้อน,การรักษาอุณหภูมิภายในบ้านให้เย็นสบายและส่งเสริมสุขภาพที่ดี
คลื่นความร้อน,ในวันที่แดดจัดจ้า หยุดพักสักครู่ในที่ร่ม
การเล่นสเก็ตลีลา,การล้มลงอย่างปลอดภัยบนก้นของคุณ
การช่วยชีวิตด้วยวิธีไฮม์ลิช,หากมีเศษอาหารติดคอ ให้บอกผู้ใหญ่ทันที
ความปลอดภัยของโรงเรียน/สาธารณะ,อย่าวิ่งในทางเดิน เดินเบาๆ
ความปลอดภัยในโรงเรียน,ระวังอย่าเดินชนเพื่อนในห้องเรียน
ความรุนแรงในโรงเรียน,จงเข้ากันได้ดีกับเพื่อน ๆ และใช้คำพูดที่สุภาพ
ความรุนแรงในโรงเรียน,การเอาใจใส่เพื่อนฝูงและการแบ่งปันความอบอุ่นใจ
ความรุนแรงในโรงเรียน,ปฏิบัติต่อเพื่อนด้วยความเมตตาโดยไม่ทำร้ายจิตใจพวกเขา
ความรุนแรงในโรงเรียน,การใช้ชีวิตในโรงเรียนอย่างสนุกสนานไปพร้อมกับการเคารพซึ่งกันและกัน
