Keyword,Content
thiết bị gia dụng,"Sau khi sử dụng, hãy rút phích cắm điện và cất chúng đi."
bạo lực gia đình,Hãy gọi số 112 để được giúp đỡ khi gặp nguy hiểm.
môi trường gia đình,Hãy gọi người lớn trước khi mở cửa khi có người lạ đến.
Bệnh truyền nhiễm,Hãy lấy tay áo che miệng khi ho.
tống tiền,"Nếu bạn bị yêu cầu làm điều gì đó mà bạn không thích, hãy nói với một người lớn đáng tin cậy."
Bảo vệ thông tin cá nhân,Hãy tự bảo vệ thông tin quý giá của bạn một cách an toàn.
nghiện game,Hãy chơi game một cách vui vẻ trong khoảng thời gian đã hứa mỗi ngày.
nghiện game,"Sau khi chơi trò chơi, hãy chạy nhảy và chơi đùa thật hào hứng ngoài trời."
nghiện game,Hãy đọc một cuốn sách thú vị hoặc tập thể dục thay vì chơi game.
kỳ nghỉ đông,Tập thể dục thường xuyên trong nhà ngay cả trong kỳ nghỉ đông.
Thể thao mùa đông,Trượt tuyết khi đeo găng tay chắc chắn và trang bị bảo hộ.
mùa đông,Hãy mặc ấm để tránh bị cảm lạnh.
Băng thung lũng,"Chỉ quan sát bằng mắt, không cần lên sân băng."
cầu thang,"Đi chậm rãi, bám vào lan can, từng bước một."
Cháy nhà cao tầng,"Nếu xảy ra hỏa hoạn, hãy sơ tán bằng cầu thang bộ thay vì thang máy."
gãy xương,Hãy nhờ giáo viên giúp đỡ mà không cần di chuyển vùng bị thương.
phòng thí nghiệm khoa học,Sử dụng dụng cụ thí nghiệm cẩn thận trong phòng thí nghiệm khoa học.
sự tra tấn,Hãy hòa thuận với bạn bè và dùng lời lẽ tử tế.
lớp học,Đi lại nhẹ nhàng trong lớp học
ngã tư,Hãy nhìn sang trái và sang phải trước khi băng qua đường khi đèn xanh bật sáng.
giao thông,Hãy đi chậm và quan sát xung quanh khi băng qua đường.
tai nạn giao thông,"Khi băng qua đường, hãy dừng lại và kiểm tra xem có xe cộ nào đang đến không."
tai nạn giao thông,"Nếu quả bóng lăn ra đường, hãy nhờ người lớn giúp đỡ."
An toàn giao thông,"Khi đi bộ, hãy nhìn thẳng về phía trước."
An toàn giao thông,"Kiểm tra xem xe đã dừng hẳn chưa, giơ tay lên và băng qua đường."
An toàn giao thông,Hãy nhìn sang trái và sang phải ở vạch kẻ đường dành cho người đi bộ và băng qua đường an toàn.
Cấm hút thuốc,"Nếu thấy khói thuốc lá, hãy bịt mũi và tránh xa."
Cấm hút thuốc,"Hãy nói rõ ràng rằng bạn không thích thuốc lá, vì chúng có hại cho cơ thể."
Tống tiền và chiếm đoạt tài sản có giá trị,Hãy báo ngay cho giáo viên nếu bạn cần giúp đỡ.
ho,Việc lấy tay áo che miệng khi ho là một hành động lịch sự.
khủng hoảng khí hậu,Giảm thiểu rác thải và tiết kiệm điện năng để bảo vệ hành tinh.
Tai nạn mắc kẹt,Hãy cẩn thận để tay không bị kẹt vào cửa hoặc khe cầu thang.
chơi,Chơi vui vẻ với bạn bè và luân phiên nhau.
công viên giải trí,"Hãy thắt dây an toàn bằng tiếng ""cạch"" khi đi xe."
trò chơi giải trí,Kiểm tra kỹ các thiết bị an toàn trước khi khởi hành.
sân chơi,Trượt cầu trượt trong tư thế ngồi thẳng.
ngày tuyết rơi,Hãy bỏ tay ra khỏi túi và đi lại cẩn thận trên những con đường phủ đầy tuyết.
Giảm lượng đường tiêu thụ,Hãy uống nước lạnh thay vì đồ uống có đường.
tuyến đường sơ tán,Hãy chú ý tìm kiếm các biển báo lối thoát hiểm trước khi ra ngoài.
đánh bạc,"Các trò chơi liên quan đến tiền bạc rất nguy hiểm, vì vậy đừng chơi chúng."
đánh bạc,Chơi những trò chơi lành mạnh với bạn bè thay vì cá cược tiền.
cúm,Hãy rửa tay thường xuyên và đeo khẩu trang để bảo vệ sức khỏe.
rắn độc,"Nếu bạn nhìn thấy rắn trên núi, hãy nhẹ nhàng lùi lại để tránh bị nó tấn công."
động vật,Ngay cả những động vật dễ thương cũng không nên bị chạm vào một cách tùy tiện; chỉ nên nhìn chúng bằng mắt thôi.
an toàn động vật,Không nên đến gần những động vật lạ.
Đường đi học và về nhà,Hãy đi bộ trên vỉa hè an toàn khi đến trường.
Đường đi học và về nhà,Hãy cất điện thoại thông minh đi một lúc khi đang đi bộ.
Trên đường đi học và về nhà,"Hãy đi bộ trên những con đường an toàn, tránh xa đường phố."
bắt nạt,Chơi đẹp với tất cả bạn bè
Bắt nạt bạn bè,Hãy tôn trọng bạn bè và sống hòa thuận với họ.
những thứ nóng bỏng,Hãy thổi nhẹ vào thức ăn nóng để làm nguội trước khi ăn.
Malbeom,Hãy rửa tay thật kỹ sau khi chạm vào động vật.
ổ cắm điện,Chỉ sử dụng ổ cắm điện khi cần thiết.
kẹt cửa,"Khi đóng cửa, hãy cẩn thận để ngón tay không bị kẹt."
Vật rơi,Hãy nhờ người lớn lấy đồ vật ở những nơi cao xuống.
Trò chơi nước,"Khi chơi đùa dưới nước, hãy mặc áo phao chắc chắn."
