Keyword,Content
घरेलू उपकरण,उपयोग के बाद बिजली के तारों को अनप्लग करें और उन्हें सुरक्षित स्थान पर रख दें।
घरेलू हिंसा,खतरे में होने पर मदद के लिए 112 पर कॉल करें
घरेलू वातावरण,किसी अजनबी के आने पर दरवाजा खोलने से पहले किसी वयस्क को बुला लें।
संक्रामक रोग,खांसते समय अपने मुंह को अपनी आस्तीन से ढक लें।
ज़बरदस्ती वसूली,"अगर आपसे कोई ऐसा काम करने को कहा जाए जो आपको पसंद नहीं है, तो किसी भरोसेमंद वयस्क को बताएं।"
व्यक्तिगत जानकारी की सुरक्षा,अपनी बहुमूल्य जानकारी को स्वयं सुरक्षित रखें।
गेम की लत,प्रतिदिन केवल निर्धारित समय के लिए ही खुशी-खुशी खेल खेलें।
गेम की लत,"खेल खेलने के बाद, उत्साह से इधर-उधर दौड़ें और बाहर खेलें।"
गेम की लत,खेल खेलने के बजाय कोई रोचक किताब पढ़ें या व्यायाम करें।
सर्दियों की छुट्टी,सर्दियों की छुट्टियों के दौरान भी नियमित रूप से घर के अंदर व्यायाम करना।
शीतकालीन खेल,मजबूत दस्ताने और सुरक्षात्मक गियर पहनकर स्कीइंग करें।
सर्दी,सर्दी से बचने के लिए गर्म कपड़े पहनें
घाटी की बर्फ,"बर्फ पर चढ़े बिना, केवल आँखों से देखना"
सीढ़ियाँ,रेलिंग को पकड़ते हुए धीरे-धीरे एक-एक कदम करके चलें।
ऊंची इमारत में आग,"आग लगने की स्थिति में, लिफ्ट के बजाय सीढ़ियों के माध्यम से बाहर निकलें।"
फ्रैक्चर,घायल हिस्से को हिलाए बिना शिक्षक से मदद मांगें।
विज्ञान प्रयोगशाला,विज्ञान प्रयोगशाला में प्रयोग के उपकरणों को सावधानीपूर्वक संभालें।
यातना,अपने दोस्तों के साथ अच्छे संबंध बनाए रखें और उनसे प्यार से पेश आएं।
कक्षा,कक्षा में हल्के कदमों से चलना
चौराहा,हरी बत्ती जलने पर सड़क पार करने से पहले बाएँ और दाएँ देखें।
ट्रैफ़िक,सड़क पार करते समय धीरे चलें और आसपास देखें।
यातायात दुर्घटना,सड़क पार करते समय रुकें और देखें कि कोई वाहन आ तो नहीं रहा है।
यातायात दुर्घटना,अगर गेंद सड़क पर लुढ़क जाए तो किसी वयस्क से मदद मांगें।
यातायात सुरक्षा,चलते समय सीधे आगे की ओर देखें।
यातायात सुरक्षा,"यह सुनिश्चित करें कि गाड़ी रुक गई है, अपना हाथ उठाएं और सड़क पार करें।"
यातायात सुरक्षा,पैदल मार्ग पर बाएं और दाएं देखें और सुरक्षित रूप से सड़क पार करें।
धूम्रपान निषेध,अगर आपको सिगरेट का धुआं दिखे तो अपनी नाक ढक लें और उससे दूर रहें।
धूम्रपान निषेध,"स्पष्ट रूप से कहें कि आपको सिगरेट पसंद नहीं है, जो आपके शरीर के लिए हानिकारक है।"
धन और कीमती वस्तुओं की जबरन वसूली,अगर आपको मदद की जरूरत हो तो तुरंत अपने शिक्षक को बताएं।
खाँसी,खांसते समय अपने मुंह को अपनी आस्तीन से ढकना एक अच्छा विचार है।
जलवायु संकट,अपशिष्ट कम करें और पृथ्वी के लिए बिजली बचाएं
फँसने की दुर्घटना,ध्यान रखें कि आपके हाथ दरवाजों या सीढ़ियों के बीच की दरारों में न फंसें।
खेल,बारी-बारी से खेलते हुए दोस्तों के साथ अच्छे से खेलना
एम्यूज़मेंट पार्क,सवारी करते समय अपनी सीट बेल्ट को क्लिक करके बांध लें।
मनोरंजन सवारी,प्रस्थान करने से पहले सुरक्षा उपकरणों की अच्छी तरह से जांच कर लें।
खेल का मैदान,स्लाइड पर सीधे बैठकर सवारी करें।
बर्फीला दिन,अपने हाथों को जेब से बाहर निकालें और बर्फीली सड़कों पर सावधानी से चलें।
चीनी का सेवन कम करें,मीठे पेय पदार्थों की जगह ठंडा पानी पिएं।
निकासी मार्ग,आपातकालीन निकास के संकेतों को पहले से ही देख लें।
जुआ,"पैसों से जुड़े खेल खतरनाक होते हैं, इसलिए उन्हें न खेलें।"
जुआ,दोस्तों के साथ पैसे दांव पर लगाने के बजाय अच्छे खेल खेलना
बुखार,अपने हाथों को बार-बार धोएं और अपने स्वास्थ्य के लिए मास्क पहनें।
विषैला साँप,"यदि आपको पहाड़ों में कोई सांप दिखाई दे, तो उससे बचने के लिए चुपचाप पीछे हट जाएं।"
जानवर,प्यारे दिखने वाले जानवरों को भी लापरवाही से नहीं छूना चाहिए; बस उन्हें अपनी आंखों से देखें।
पशु सुरक्षा,अपरिचित जानवरों के पास न जाएं
स्कूल आने-जाने का रास्ता,स्कूल जाते समय सुरक्षित फुटपाथ पर चलें।
स्कूल आने-जाने का रास्ता,चलते समय कुछ देर के लिए अपना स्मार्टफोन दूर रख दें।
स्कूल जाते और आते समय,सड़कों से दूर सुरक्षित रास्तों पर चलें।
बदमाशी,सभी दोस्तों के साथ अच्छे से खेलना
साथियों द्वारा धमकाना,दोस्तों के साथ सम्मानपूर्वक व्यवहार करें और उनके साथ अच्छे संबंध बनाए रखें।
गर्म चीजें,खाने से पहले गरम भोजन पर फूंक मारकर उसे ठंडा कर लें और फिर सावधानीपूर्वक खाएं।
मालबेओम,जानवरों को छूने के बाद अपने हाथों को अच्छी तरह धोएं।
बिजली की पट्टी,बिजली के आउटलेट का उपयोग केवल आवश्यकतानुसार ही करें।
डोर पिंच,दरवाजा बंद करते समय ध्यान रखें कि आपकी उंगलियां उसमें न फंसें।
गिरती हुई वस्तुएँ,ऊँची जगहों से सामान नीचे उतारने के लिए किसी वयस्क से कहें।
पानी से खेलना,पानी में खेलते समय मजबूत लाइफ जैकेट पहनें।
पानी से खेलना,पानी में केवल सुरक्षित स्थानों पर ही खेलें और गहरे पानी से बचें।
पानी से खेलना,तेज धाराओं वाले क्षेत्रों में तैरने से बचें।
बारीक धूल,खराब वायु गुणवत्ता वाले दिनों में मास्क पहनें और स्वस्थ रहें।
कला की आपूर्ति,कैंची और चाकू का इस्तेमाल करने के बाद उन्हें वापस उनकी जगह पर रख दें।
कला कक्ष,प्रयोग करते समय सुरक्षा चश्मे पहनें और अपनी आंखों की सुरक्षा करें।
लापता बच्चे की दुर्घटना,"अगर आपके माता-पिता का निधन हो जाए, तो उसी जगह पर इंतजार करें।"
समुद्री जल से खेलना,केवल तेज लहरों वाले क्षेत्रों को देखें और उनमें प्रवेश न करें।
खुले पानी में तैराकी,समुद्र में खेलते समय हमेशा लाइफ जैकेट पहनें।
पालतू जानवर,जानवर को छूने से पहले मालिक से पूछ लें
छुट्टी,छुट्टियों के दौरान भी जल्दी सोएं और जल्दी उठें।
अग्निरोधक शटर,नीचे की ओर खुलते शटर के नीचे से न गुजरें
बस,"बस में चढ़ते समय, एक ही लाइन में खड़े रहें और अपनी बारी का इंतजार करें।"
बस में चढ़ना,"जब बस पूरी तरह से रुक जाए, तो धीरे-धीरे चढ़ें और उतरें।"
मधुमक्खी का डंक,"यदि आपको कोई मधुमक्खी दिखाई दे, तो उसे परेशान न करें और चुपचाप उससे दूर रहें।"
चलना,सड़क के बजाय सुरक्षित फुटपाथ पर आत्मविश्वास से चलें।
पैदल यात्री सुरक्षा,चलते समय अपने फोन को न देखें
वसंत ऋतु में पैदल यात्रा,पहाड़ों पर जाते समय लंबे कपड़े पहनें और कीड़ों से सावधान रहें।
आग से खेलना,लाइटर और माचिस बड़ों के लिए छोड़ दें।
जरुरत का समय,"छाते का इस्तेमाल करते समय, उसे इस तरह पकड़ें कि आपको आगे का दृश्य स्पष्ट रूप से दिखाई दे।"
आपातकालीन निकास,आपातकालीन निकास के लिए लगे हरे रंग के चिन्ह को पहले से ही देख लें।
विमान दुर्घटना,हवाई जहाज में फ्लाइट अटेंडेंट की घोषणाओं को ध्यान से सुनें।
हवाई जहाज की सुरक्षा,बैठते ही अपनी सीट बेल्ट बांध लें।
साइबर-धमकी,इंटरनेट पर भी विनम्र और शालीन भाषा का प्रयोग करें।
साइबर-धमकी,टिप्पणी लिखते समय अपने मित्र की भावनाओं का ध्यान रखें।
जीवन के प्रति सम्मान,छोटे जानवरों और पौधों को भी प्यार करें
जीवन रक्षा के लिए तैराकी,"अगर आप पानी में गिर जाते हैं, तो घबराएं नहीं और अपने शरीर को आराम दें।"
जीवन सुरक्षा,माता-पिता के साथ अंधेरी सड़कों पर चलना
शिपिंग,"जब आप नाव पर चढ़ें, तो सबसे पहले अपनी लाइफ जैकेट की जांच कर लें।"
यौन हिंसा,"अगर कोई ऐसा कुछ करता है जो आपको पसंद नहीं है, तो स्पष्ट रूप से कह दें कि आपको वह पसंद नहीं है।"
यौन हिंसा,अगर कोई मेरे शरीर को छूने की कोशिश करे तो ज़ोर से चिल्लाओ
उंगली का विच्छेदन,हमेशा सावधान रहें कि आपका हाथ दरवाजे में न फंस जाए।
हाथ धोना,अपने हाथों को साबुन के झाग से अच्छी तरह धोएं।
तैरना,"पानी में उतरने से पहले वार्म-अप एक्सरसाइज, एक, दो, एक।"
स्मार्टफोन,अंधेरे में अपने स्मार्टफोन को न देखें
स्मार्टफोन,मैंने वादा किया था कि मैं अपने स्मार्टफोन का इस्तेमाल केवल एक निश्चित समय के लिए ही करूंगा।
पटरियां,स्केटिंग करते समय घुटने के पैड और दस्ताने पहनें।
स्की,स्की रिसॉर्ट में हमेशा हेलमेट पहनें और सुरक्षित रूप से स्कीइंग करें।
उठाना,लिफ्ट में स्थिर खड़े रहें
उठाना,लिफ्ट का सुरक्षित रूप से उपयोग करें और दरवाजों पर झुकें नहीं।
विषाक्त भोजन,नाश्ता करने से पहले अपने हाथ अच्छी तरह धो लें।
विषाक्त भोजन,खाना अच्छी तरह पकाएं और अपने हाथ धोएं।
खाना,खराब हो चुके भोजन को खाने के बजाय फेंक दें।
शारीरिक हिंसा,अपने शरीर से खेलने के बजाय दोस्तों से बात करना
इनडोर मूर्ति,सर्दी के दिनों में गर्म कपड़े पहनें और सर्दी लगने से बचने के लिए सावधानी बरतें।
लापता व्यक्ति की रोकथाम,अगर आप रास्ता भटक जाएं तो वहीं रुक जाएं और इंतजार करें।
दिल की धड़कन रुकना,"यदि आपको कोई व्यक्ति बेहोश दिखाई दे, तो 119 पर कॉल करें।"
सिंकहोल,"अगर आपको कोई धंसने वाला गड्ढा दिखाई दे, तो तुरंत सुरक्षित स्थान पर चले जाएं।"
बेपहियों की गाड़ी,किसी निर्जन क्षेत्र में स्लेज की सवारी सुरक्षित रूप से करें
बाल उत्पीड़न,"अगर आपका कोई दोस्त परेशान दिख रहा है, तो शिक्षक को बताएं।"
बाल उत्पीड़न,"अगर आपका कोई दोस्त दुखी है, तो किसी बड़े को बताएं।"
अपार्टमेंट का गलियारा,"गलियारे में दौड़ें नहीं, धीरे-धीरे चलें।"
नेत्र संबंधी रोग,"अगर आपकी आंखों में खुजली हो रही है, तो उन्हें रगड़ें नहीं और आंखों में ड्रॉप्स डालें।"
सुरक्षित वाहन चलाने के तरीके,यातायात संकेतों का पालन करें और साइकिल चलाते समय गति कम रखें।
बाहरी जल क्रीड़ा,किसी वयस्क की देखरेख में सुरक्षित गहराई वाले पानी में खेलना
बाहरी पौधे,अज्ञात फूल या फल न खाएं।
बाहरी गतिविधियाँ,बाहर खेलने के बाद अपने हाथ और पैर अच्छी तरह धो लें।
लगभग,केवल वही दवा लें जो आपके माता-पिता आपको दें।
ड्रग्स,किसी वयस्क की अनुमति से ही दवा लें।
मौखिक दुरुपयोग,अपने दोस्तों से केवल सुंदर और विनम्र शब्दों का ही प्रयोग करें।
मौखिक दुरुपयोग,किसी मित्र को अच्छा महसूस कराने के लिए उसकी प्रशंसा करना
मौखिक दुरुपयोग,दोस्तों के प्रति सम्मानजनक और विचारशील भाषा का प्रयोग करें।
मौखिक दुरुपयोग,कठोर शब्दों की जगह प्रोत्साहन भरे शब्दों का प्रयोग करें।
चलती सीढ़ी,हैंडल को कसकर पकड़ें और पीली रेखा के अंदर खड़े हो जाएं।
चलती सीढ़ी,"एस्केलेटर पर ठीक से खड़े हों, इधर-उधर न खेलें।"
एयर कंडीशनिंग,एयर कंडीशनर को मध्यम तापमान पर सेट करके अपने स्वास्थ्य की रक्षा करें।
गर्मी,गर्मी के दिनों में पर्याप्त मात्रा में पानी पीते रहें ताकि शरीर में पानी की कमी न हो।
ऑनलाइन अपराध,अजनबियों द्वारा भेजे गए लिंक पर कभी क्लिक न करें
स्नानघर,"बाथरूम का फर्श फिसलन भरा है, इसलिए धीरे-धीरे चलें।"
कसरत करना,व्यायाम करने से पहले अपने शरीर को अच्छी तरह से गर्म कर लें।
खेल का मैदान,खेल के मैदान में दोस्तों से टकराने से सावधान रहें।
वाटर पार्क,"स्विमिंग पूल के तल पर धीरे-धीरे चलें, दौड़ें नहीं।"
अपहरण,"किसी अजनबी के साथ जाने के लिए कहने पर ""ना"" कहना"
अपहरण,अजनबियों से उपहार विनम्रतापूर्वक अस्वीकार करना
अपहरण की रोकथाम,"जोर से चिल्लाओ, ""तुम्हें अजनबियों द्वारा नहीं ले जाया जाना चाहिए।"""
