Keyword,Content
elettrodomestici,"Dopo l'uso, scollegare i cavi elettrici e riporli."
violenza domestica,Chiama il 112 per chiedere aiuto in caso di pericolo.
ambiente domestico,Chiama un adulto prima di aprire la porta quando arriva uno sconosciuto
Malattie infettive,"Quando tossisci, copriti la bocca con la manica."
estorsione,"Se ti viene chiesto di fare qualcosa che non ti piace, parlane con un adulto di cui ti fidi."
Protezione delle informazioni personali,Proteggi le tue informazioni preziose in modo sicuro
Dipendenza dai videogiochi,Gioca felicemente solo per il tempo promesso ogni giorno.
Dipendenza dai videogiochi,"Dopo aver giocato, corri e gioca all'aperto con entusiasmo"
Dipendenza dai videogiochi,"Invece di giocare, leggi un libro interessante o fai esercizio fisico."
vacanze invernali,Allenarsi regolarmente al chiuso anche durante le vacanze invernali.
sport invernali,Sciare indossando guanti robusti e dispositivi di protezione.
inverno,Vestiti in modo caldo per evitare il raffreddore
Ghiaccio della valle,"Osservazione solo con gli occhi, senza salire sul ghiaccio."
scale,"Cammina lentamente, tenendoti al corrimano, un passo alla volta."
incendio in un grattacielo,"In caso di incendio, evacuate utilizzando le scale anziché l'ascensore."
frattura,Chiedi aiuto all'insegnante senza muovere la zona infortunata.
laboratorio scientifico,"Nel laboratorio scientifico, maneggiare con cura gli strumenti sperimentali."
tormento,Vai d'accordo con i tuoi amici e usa parole gentili
classe,Camminare con passo leggero in classe
crocevia,Guardate a sinistra e a destra prima di attraversare quando il semaforo diventa verde.
traffico,Cammina lentamente e guardati intorno quando attraversi la strada.
incidente stradale,"Quando attraversi la strada, fermati e controlla se stanno arrivando macchine."
incidente stradale,"Se la palla rotola sulla strada, chiedi aiuto a un adulto."
Sicurezza stradale,"Quando cammini, guarda dritto davanti a te."
Sicurezza stradale,"Verifica che l'auto si sia fermata, alza la mano e attraversa la strada."
Sicurezza stradale,Guardate a sinistra e a destra quando attraversate la strada e attraversate in sicurezza.
Vietato fumare,"Se vedi del fumo di sigaretta, copriti il ​​naso e stai a distanza di sicurezza."
Vietato fumare,"Dichiara chiaramente che non ti piacciono le sigarette, perché sono dannose per il tuo organismo."
Estorsione di denaro e oggetti di valore,"Se hai bisogno di aiuto, comunicalo immediatamente al tuo insegnante."
tosse,È buona educazione coprirsi la bocca con la manica quando si tossisce.
crisi climatica,Riduci gli sprechi e risparmia energia elettrica per il pianeta.
Incidente da intrappolamento,Fai attenzione a non incastrare le mani nelle porte o nelle fessure delle scale.
giocare,"Giocare bene con gli amici, rispettando i turni."
Parco divertimenti,Allacciate la cintura di sicurezza con un clic quando viaggiate sulle giostre.
giostre,"Prima della partenza, verificare attentamente i dispositivi di sicurezza."
parco giochi,Scorri sullo scivolo stando seduto in posizione eretta.
giornata nevosa,Togli le mani dalle tasche e cammina con attenzione sulle strade innevate.
Ridurre l'assunzione di zucchero,Bevi acqua fredda invece di bevande zuccherate.
percorso di evacuazione,Cerca in anticipo i segnali delle uscite di emergenza.
gioco d'azzardo,"I giochi che coinvolgono denaro sono pericolosi, quindi è meglio non parteciparvi."
gioco d'azzardo,Giocare a giochi sani con gli amici invece di scommettere denaro
influenza,Lavati spesso le mani e indossa una mascherina per la tua salute.
serpente velenoso,"Se avvistate un serpente in montagna, allontanatevi silenziosamente per evitarlo."
animale,Anche gli animali più carini non vanno toccati con noncuranza; è sufficiente osservarli attentamente.
Sicurezza degli animali,Non avvicinarti ad animali sconosciuti
Il tragitto da e per la scuola,Cammina sul marciapiede sicuro mentre vai a scuola
Il tragitto da e per la scuola,"Quando cammini, metti via lo smartphone per un po'."
Sulla strada da e per la scuola,"Camminate su sentieri sicuri, lontani dalle strade."
bullismo,Giocare bene con tutti gli amici
bullismo tra pari,Tratta gli amici con rispetto e vai d'accordo
cose calde,Soffia sul cibo caldo per raffreddarlo prima di mangiarlo con attenzione.
Malbeom,Lavarsi accuratamente le mani dopo aver toccato gli animali.
ciabatta multipresa,Utilizzare le prese elettriche solo quando necessario.
Schiacciamento della porta,"Quando chiudete la porta, assicuratevi di non incastrare le dita."
oggetti in caduta,Chiedi a un adulto di togliere gli oggetti dai posti alti
Giochi d'acqua,Indossa un giubbotto di salvataggio robusto quando giochi in acqua.
Giochi d'acqua,Gioca in acqua solo in aree sicure ed evita le acque profonde.
Giochi d'acqua,Non nuotare in zone con forti correnti.
polvere fine,Indossa una mascherina e resta in salute nei giorni con scarsa qualità dell'aria.
materiali per l'arte,Riponi forbici e coltelli al loro posto dopo l'uso.
sala d'arte,Indossa occhiali di sicurezza e proteggi i tuoi occhi quando conduci esperimenti.
bambino scomparso incidente,"Se perdi i tuoi genitori, aspetta in quel punto"
giochi d'acqua di mare,Osservate solo le zone con onde forti e non entrate.
nuoto in acque libere,Indossate sempre un giubbotto di salvataggio quando giocate in mare.
animali domestici,Chiedi al proprietario prima di toccare l'animale
vacanza,"Andare a letto presto e svegliarsi presto, anche in vacanza."
telo antincendio,Non passare sotto la serranda discendente
autobus,"Quando prendete l'autobus, mettetevi in ​​fila indiana e aspettate il vostro turno."
Salire sull'autobus,"Quando l'autobus si ferma completamente, salite e scendete lentamente."
Puntura d'ape,"Se vedi un'ape, non disturbarla e allontanati silenziosamente."
a piedi,"Cammina con sicurezza sul marciapiede, che è sicuro, invece che sulla strada."
sicurezza pedonale,Non guardare il telefono mentre cammini
Escursioni primaverili,"Quando andate in montagna, indossate abiti lunghi e fate attenzione agli insetti."
Giocare con il fuoco,Lasciate accendini e fiammiferi agli adulti.
giornata piovosa,"Quando usi un ombrello, tienilo in modo da poter vedere chiaramente davanti a te."
Uscita di emergenza,Verificate in anticipo la presenza del cartello verde di uscita di emergenza.
incidente aereo,Ascolta attentamente gli annunci degli assistenti di volo sull'aereo
Sicurezza in aereo,Allacciate la cintura di sicurezza non appena vi sedete.
cyberbullismo,Utilizza un linguaggio cortese e gentile anche su internet.
cyberbullismo,"Quando scrivi commenti, tieni conto dei sentimenti del tuo amico."
Rispetto per la vita,Prenditi cura anche dei piccoli animali e delle piante
Nuoto di sopravvivenza,"Se cadi in acqua, non farti prendere dal panico e rilassa il corpo."
Sicurezza vitale,Camminare su strade buie con i genitori
spedizione,"Quando salite a bordo di una barca, controllate prima di tutto il giubbotto di salvataggio."
violenza sessuale,"Se qualcuno fa qualcosa che non ti piace, dillo chiaramente."
violenza sessuale,Grida forte se qualcuno cerca di toccarmi il corpo
amputazione del dito,Fai sempre attenzione a non incastrare la mano nella porta.
Lavarsi le mani,Lavarsi accuratamente le mani con la schiuma di sapone.
nuoto,"Esercizi di riscaldamento prima di entrare in acqua, uno, due, uno."
smartphone,Non guardare lo smartphone al buio.
smartphone,Ho promesso di usare il mio smartphone solo per un periodo di tempo prestabilito.
Pattini,Indossa ginocchiere e guanti quando pattini
sciare,Indossate sempre il casco e sciate in sicurezza nel comprensorio sciistico.
sollevare,Rimani immobile nell'ascensore.
sollevare,Utilizzate l'ascensore in sicurezza senza appoggiarvi alle porte.
intossicazione alimentare,Lavarsi accuratamente le mani prima di mangiare spuntini.
intossicazione alimentare,Cuocete bene il cibo e lavatevi le mani.
cibo,Buttate via il cibo scaduto invece di mangiarlo.
violenza fisica,Parlare con gli amici invece di giocare con i loro corpi
Statua interna,Nelle giornate fredde vestitevi in ​​modo adeguato e fate attenzione a non prendere il raffreddore.
Prevenzione delle persone scomparse,"Se vi perdete, fermatevi proprio lì e aspettate."
