Keyword,Content
electrodomésticos,Desenchufe los cables eléctricos después de usarlos y guárdelos.
violencia doméstica,Llama al 112 para pedir ayuda si estás en peligro.
entorno doméstico,Llama a un adulto antes de abrir la puerta cuando llegue un desconocido.
Enfermedades infecciosas,Cúbrase la boca con la manga cuando tosa.
extorsión,"Si te piden que hagas algo que no te gusta, díselo a un adulto de confianza."
Protección de datos personales,Proteja usted mismo su valiosa información de forma segura.
Adicción a los videojuegos,Juega felizmente solo durante el tiempo prometido cada día.
Adicción a los videojuegos,"Después de jugar, corre y juega con entusiasmo al aire libre."
Adicción a los videojuegos,Lee un libro interesante o haz ejercicio en lugar de jugar.
vacaciones de invierno,Hacer ejercicio regularmente en interiores incluso durante las vacaciones de invierno.
Deportes de invierno,Esquía usando guantes resistentes y equipo de protección.
invierno,Abrígate bien para evitar resfriarte.
Hielo del valle,"Observar solo con los ojos, sin subir al hielo."
escaleras,"Camina despacio, sujetándote a la barandilla, un paso a la vez."
Incendio en un edificio de gran altura,"En caso de incendio, evacúe por las escaleras en lugar de usar el ascensor."
fractura,Pídele ayuda al profesor sin mover la zona lesionada.
laboratorio de ciencias,Manipule con cuidado los instrumentos de experimentación en el laboratorio de ciencias.
tormento,Llévate bien con tus amigos y usa palabras amables.
aula,Caminar con ligereza en el aula
encrucijada,Mira a izquierda y derecha antes de cruzar cuando se encienda la luz verde.
tráfico,Camina despacio y mira a tu alrededor al cruzar la calle.
accidente de tráfico,"Al cruzar la calle, deténgase y compruebe si vienen coches."
accidente de tráfico,"Si la pelota rueda hacia la carretera, pídele ayuda a un adulto."
Seguridad vial,"Al caminar, mire siempre hacia adelante."
Seguridad vial,"Comprueba que el coche se haya detenido, levanta la mano y crúzala."
Seguridad vial,Mira a izquierda y derecha en el paso de peatones y cruza con seguridad.
No Fumar,"Si ve humo de cigarrillo, cúbrase la nariz y manténgase alejado."
No Fumar,"Di claramente que no te gustan los cigarrillos, ya que son perjudiciales para la salud."
Extorsión de dinero y objetos de valor,"Si necesitas ayuda, avísale a tu profesor inmediatamente."
tos,Es recomendable cubrirse la boca con la manga al toser.
crisis climática,Reduzca los residuos y ahorre electricidad para el planeta.
Accidente por atrapamiento,Tenga cuidado de no pillarse las manos con las puertas o los huecos de las escaleras.
jugar,Jugar bien con los amigos mientras se turnan
parque de atracciones,Abróchate el cinturón de seguridad con un clic al subirte a las atracciones.
atracciones de feria,Compruebe minuciosamente los dispositivos de seguridad antes de partir.
patio de juegos,Deslízate por el tobogán sentado en posición vertical.
día nevado,Saca las manos de los bolsillos y camina con cuidado por las carreteras nevadas.
Reducir la ingesta de azúcar,Bebe agua fría en lugar de bebidas azucaradas.
ruta de evacuación,Busque las señales de salida de emergencia con antelación.
juego,"Los juegos que implican dinero son peligrosos, así que no juegues a ellos."
juego,Jugar juegos sanos con amigos en lugar de apostar dinero
gripe,Lávate las manos con frecuencia y usa mascarilla para proteger tu salud.
serpiente venenosa,"Si ves una serpiente en la montaña, aléjate sigilosamente para evitarla."
animal,Ni siquiera a los animales más adorables se les debe tocar sin cuidado; basta con observarlos con atención.
Seguridad animal,No te acerques a animales desconocidos.
El camino de ida y vuelta a la escuela,Camina por la acera segura de camino a la escuela.
El camino de ida y vuelta a la escuela,Guarda tu teléfono inteligente un rato cuando camines.
De camino a la escuela y de regreso a casa,"Camina por senderos seguros, lejos de las carreteras."
acoso escolar,Jugar bien con todos los amigos
Acoso entre iguales,Trata a tus amigos con respeto y llévate bien con ellos.
cosas calientes,Sopla con cuidado sobre la comida caliente para enfriarla antes de comerla.
Malbeom,Lávese bien las manos después de tocar animales.
regleta de enchufes,Utilice los enchufes eléctricos solo cuando sea necesario.
Pinza de puerta,"Al cerrar la puerta, asegúrese de que sus dedos no queden atrapados."
objetos que caen,Pídele a un adulto que baje las cosas de lugares altos.
Juegos acuáticos,Usa un chaleco salvavidas resistente cuando juegues en el agua.
Juegos acuáticos,Juega en el agua solo en zonas seguras y evita las aguas profundas.
Juegos acuáticos,No nade en zonas con fuertes corrientes.
polvo fino,Usa mascarilla y mantente sano en días con mala calidad del aire.
