Keyword,Content
бытовая техника,После использования отключайте электрические шнуры от сети и убирайте их на место.
домашнее насилие,В случае опасности звоните по номеру 112.
домашняя обстановка,"Позовите взрослого, прежде чем открывать дверь, если войдет незнакомец."
Инфекционные заболевания,При кашле прикрывайте рот рукавом.
вымогательство,"Если вас попросят сделать что-то, что вам не нравится, расскажите об этом взрослому, которому вы доверяете."
Защита персональных данных,Защитите свою ценную информацию самостоятельно.
Игровая зависимость,"Играйте в игры с удовольствием, уделяя им ровно столько времени, сколько обещано каждый день."
Игровая зависимость,После игр побегайте и поиграйте на улице с удовольствием.
Игровая зависимость,Вместо игр почитайте интересную книгу или займитесь спортом.
зимние каникулы,"Регулярные занятия спортом в помещении, даже во время зимних каникул."
Зимние виды спорта,Катайтесь на лыжах в прочных перчатках и защитном снаряжении.
зима,"Одевайтесь потеплее, чтобы не простудиться."
Долинный лед,"Осмотр только глазами, без выхода на лед."
лестница,"Идите медленно, держась за перила, делая шаг за шагом."
Пожар в высотном здании,"В случае возникновения пожара эвакуируйтесь по лестнице, а не на лифте."
перелом,"Попросите учителя о помощи, не двигая поврежденную область."
научная лаборатория,В научной лаборатории следует бережно обращаться с экспериментальными инструментами.
мучения,Хорошо ладьте со своими друзьями и используйте добрые слова.
классная комната,Легко передвигаться по классу
перекресток,"Когда загорится зеленый свет, перед переходом дороги посмотрите налево и направо."
трафик,"Переходя дорогу, идите медленно и оглядывайтесь по сторонам."
дорожно-транспортное происшествие,"Переходя дорогу, остановитесь и проверьте, не приближаются ли автомобили."
дорожно-транспортное происшествие,"Если мяч скатится на дорогу, попросите помощи у взрослого."
Безопасность дорожного движения,Во время ходьбы смотрите прямо перед собой.
Безопасность дорожного движения,"Убедитесь, что машина остановилась, поднимите руку и перейдите дорогу."
Безопасность дорожного движения,Посмотрите налево и направо на пешеходном переходе и переходите дорогу безопасно.
Курение запрещено,"Если вы увидите сигаретный дым, закройте нос и держитесь подальше."
Курение запрещено,"Чётко скажите, что вам не нравятся сигареты, которые вредны для вашего организма."
Вымогательство денег и ценностей,"Немедленно сообщите учителю, если вам нужна помощь."
кашель,В целях предосторожности рекомендуется прикрывать рот рукавом при кашле.
климатический кризис,Сократите количество отходов и сэкономьте электроэнергию для планеты.
несчастный случай с защемлением,"Будьте осторожны, чтобы не защемить руки в дверях или щелях лестницы."
играть,"Играть дружелюбно с друзьями, соблюдая очередность."
парк с аттракционами,Пристегивайте ремень безопасности щелчком во время поездки.
аттракционы,Перед отправлением тщательно проверьте все устройства безопасности.
детская площадка,"Катайтесь с горки, сидя прямо."
снежный день,Выньте руки из карманов и идите осторожно по заснеженным дорогам.
Снизьте потребление сахара.,Пейте холодную воду вместо сладких напитков.
маршрут эвакуации,Заранее ознакомьтесь с указателями аварийных выходов.
играть в азартные игры,"Игры на деньги опасны, поэтому не играйте в них."
играть в азартные игры,"Играть в полезные игры с друзьями вместо того, чтобы делать ставки на деньги."
грипп,Часто мойте руки и носите маску ради своего здоровья.
ядовитая змея,"Если вы увидите змею в горах, тихонько отступите назад, чтобы избежать встречи с ней."
животное,Даже милых животных не следует трогать бездумно; просто посмотрите на них глазами.
Безопасность животных,Не приближайтесь к незнакомым животным.
Путь в школу и обратно,По дороге в школу идите по безопасному тротуару.
Путь в школу и обратно,Во время прогулки отложите смартфон на некоторое время.
По дороге в школу и обратно,Ходите по безопасным тропам вдали от дорог.
издевательства,Хорошо ладит со всеми друзьями.
Травля со стороны сверстников,Относитесь к друзьям с уважением и хорошо ладите друг с другом.
горячие штучки,"Перед употреблением осторожно подуйте на горячую пищу, чтобы ее охладить."
Мальбеом,Тщательно мойте руки после контакта с животными.
сетевой фильтр,Используйте электрические розетки только по мере необходимости.
Защемление двери,"Закрывая дверь, следите за тем, чтобы ваши пальцы не застряли."
Падающие предметы,Попросите взрослого снять вещи с высоких мест.
Игры с водой,При купании в воде обязательно надевайте прочный спасательный жилет.
Игры с водой,Занимайтесь водными видами спорта только в безопасных местах и ​​избегайте глубокой воды.
Игры с водой,Не купайтесь в местах с сильным течением.
мелкая пыль,Носите маску и берегите свое здоровье в дни с плохим качеством воздуха.
художественные принадлежности,После использования убирайте ножницы и ножи на свои места.
художественная комната,При проведении экспериментов надевайте защитные очки и защищайте глаза.
несчастный случай с пропавшим ребенком,"Если ты потеряешь родителей, жди на том месте."
Игры в морской воде,Заходите только в места с сильными волнами и не заходите туда.
плавание на открытой воде,При играх в море всегда надевайте спасательный жилет.
домашние животные,"Прежде чем прикасаться к животному, спросите разрешения у владельца."
отпуск,"Ложитесь спать пораньше и просыпайтесь пораньше, даже во время отпуска."
противопожарная ставня,Не проходите под опускающейся ставней.
автобус,При поездке на автобусе встаньте в одну очередь и дождитесь своей очереди.
Посадка в автобус,"Когда автобус полностью остановится, садитесь и выходите медленно."
Укус пчелы,"Если вы увидите пчелу, не беспокойте ее и спокойно избегайте ее."
ходьба,"Идите уверенно по безопасному тротуару, а не по проезжей части."
безопасность пешеходов,Не смотрите в телефон во время ходьбы.
Весенние походы,"Отправляясь в горы, надевайте одежду с длинными рукавами и остерегайтесь насекомых."
Игра с огнём,Оставьте зажигалки и спички взрослым.
дождливый день,"При использовании зонта держите его так, чтобы хорошо видеть перед собой."
запасный выход,Заранее проверьте зелёный знак аварийного выхода.
авиакатастрофа,Внимательно слушайте объявления бортпроводников в самолете.
Безопасность полетов,"Пристегните ремень безопасности, как только сядете."
кибербуллинг,Используйте вежливый и доброжелательный язык даже в интернете.
кибербуллинг,При написании комментариев учитывайте чувства своего друга.
Уважение к жизни,"Бережно относитесь и к мелким животным, и к растениям."
Плавание для выживания,"Если вы упадете в воду, не паникуйте и расслабьтесь."
Безопасность жизни,Прогулка по темным дорогам с родителями.
перевозки,"При посадке на лодку, в первую очередь проверьте наличие спасательного жилета."
сексуальное насилие,"Если кто-то делает что-то, что вам не нравится, четко скажите об этом."
сексуальное насилие,"Кричите громко, если кто-то попытается прикоснуться к моему телу."
ампутация пальца,"Всегда будьте осторожны, чтобы не защемить руку дверью."
Мытье рук,Тщательно вымойте руки с мылом.
плавание,"Разминка перед заходом в воду: раз, два, раз."
смартфон,Не смотрите на свой смартфон в темноте.
смартфон,Я пообещал пользоваться смартфоном только в течение определенного времени.
Коньки,При катании на коньках обязательно надевайте наколенники и перчатки.
лыжи,На горнолыжном курорте всегда надевайте шлем и соблюдайте правила безопасного катания на лыжах.
поднимать,Стойте неподвижно в лифте.
поднимать,"Пользуйтесь лифтом безопасно, не опираясь на двери."
пищевое отравление,Тщательно мойте руки перед употреблением закусок.
пищевое отравление,Тщательно готовьте еду и мойте руки.
еда,"Выбрасывайте просроченные продукты, вместо того чтобы их есть."
физическое насилие,"Разговаривать с друзьями вместо того, чтобы играть с их телами."
Статуя для интерьера,"В холодные дни одевайтесь потеплее и будьте осторожны, чтобы не простудиться."
Предотвращение исчезновения людей,"Если заблудились, остановитесь прямо здесь и подождите."
остановка сердца,"Если вы видите человека, потерявшего сознание, позвоните по номеру 119."
карстовая воронка,"Если вы увидели провал в земле, переместитесь в безопасное место."
сани,Безопасная поездка на санях в необитаемой местности.
жестокое обращение с детьми,"Если ваш друг выглядит так, будто ему тяжело, скажите об этом учителю."
жестокое обращение с детьми,"Если у вас есть друг, которому больно, расскажите об этом взрослому."
коридор квартиры,"Не бегайте по коридору, ходите тихо."
офтальмологические заболевания,"Если глаза зудят, не трите их и закапайте глазные капли."
Безопасное вождение,Соблюдайте сигналы светофора и снижайте скорость при езде на велосипеде.
Игры с водой на открытом воздухе,Игры в воде на безопасной глубине в сопровождении взрослого.
Растения для открытого грунта,Не употребляйте в пищу неизвестные цветы или плоды.
активный отдых на природе,После игр на улице тщательно мойте руки и ноги.
примерно,"Принимайте только те лекарства, которые вам дают родители."
наркотики,Принимайте лекарства только с разрешения взрослого.
словесные оскорбления,В общении с друзьями используйте только добрые и приятные слова.
словесные оскорбления,"Хвалить друга, чтобы поднять ему настроение."
словесные оскорбления,Используйте уважительный и внимательный язык по отношению к друзьям.
словесные оскорбления,Используйте ободряющие слова вместо злых.
эскалатор,Крепко держитесь за ручку и встаньте внутри желтой линии.
эскалатор,"Стойте на эскалаторе ровно, не балуясь."
кондиционер,"Защитите свое здоровье, установив кондиционер на умеренную температуру."
лето,"В жаркие дни пейте воду почаще, чтобы избежать обезвоживания."
онлайн-преступления,"Никогда не переходите по ссылкам, присланным незнакомцами."
ванная комната,"Пол в ванной скользкий, поэтому ходите медленно."
тренировка,Перед началом тренировки необходимо достаточно разогреть тело.
детская площадка,"Будьте осторожны, чтобы не столкнуться с друзьями на детской площадке."
Аквапарк,"Медленно пройдитесь по дну бассейна, не бегая."
похищение,"Как сказать «нет», когда незнакомец просит вас пойти"
похищение,Вежливый отказ от подарков от незнакомцев.
Предотвращение похищений,Кричите: «Не позволяйте чужим забрать вас!»
стеклянная дверь,Будьте осторожны и не играйте перед стеклянными дверями.
еда,"Питайтесь сбалансированно, употребляя здоровую пищу, и станьте сильнее."
вождение в нетрезвом виде,"Поддержка безопасного вождения для родителей, которые водят машину."
Первая помощь,"Если ваш друг пострадал, немедленно сообщите об этом взрослому."
одежда,Переоденьтесь из мокрой одежды в сухую.
роликовые коньки,Всегда надевайте защитное снаряжение и ездите по ровной поверхности.
приветствие,Ярко приветствуйте учителей и друзей!
приветствие,"По утрам говорите своей семье, что любите их."
Интернет,Не публикуйте свое имя или адрес в интернете.
тепловой удар,В жаркую погоду надевайте шляпу и отдыхайте в тени.
Автоматический внешний дефибриллятор,"Узнайте, как спасать жизни в чрезвычайных ситуациях."
