Keyword,Content
Haushaltsgeräte,Ziehen Sie nach Gebrauch die Stecker und verstauen Sie sie.
häusliche Gewalt,"Rufen Sie im Notfall die 112 an, um Hilfe zu erhalten."
häusliche Umgebung,"Rufe einen Erwachsenen, bevor du die Tür öffnest, wenn ein Fremder vor dir steht."
Infektionskrankheiten,"Bedecken Sie Ihren Mund mit Ihrem Ärmel, wenn Sie husten."
Erpressung,"Wenn du aufgefordert wirst, etwas zu tun, was du nicht magst, sprich mit einem vertrauenswürdigen Erwachsenen."
Datenschutz,Schützen Sie Ihre wertvollen Informationen selbst.
Spielsucht,"Spiele jeden Tag glücklich, aber nur für die versprochene Zeit."
Spielsucht,Nach dem Spielen könnt ihr draußen herumtoben und euch ausgelassen austoben.
Spielsucht,"Lies ein interessantes Buch oder mach Sport, anstatt Spiele zu spielen."
Winterferien,Regelmäßige Bewegung in Innenräumen auch während der Winterferien
Wintersport,Skifahren mit robusten Handschuhen und Schutzausrüstung
Winter,"Ziehen Sie sich warm an, um einer Erkältung vorzubeugen"
Eis im Tal,"Nur mit den Augen beobachten, ohne das Eis zu betreten"
Treppe,"Gehen Sie langsam, halten Sie sich am Handlauf fest, Schritt für Schritt."
Hochhausbrand,Im Brandfall evakuieren Sie bitte über die Treppe und nicht über den Aufzug.
Bruch,"Bitten Sie die Lehrkraft um Hilfe, ohne die verletzte Stelle zu bewegen."
Wissenschaftslabor,Gehen Sie im naturwissenschaftlichen Labor vorsichtig mit Experimentiergeräten um.
quälen,Verstehe dich gut mit deinen Freunden und verwende freundliche Worte.
Klassenzimmer,Leise im Klassenzimmer gehen
Kreuzung,"Schauen Sie nach links und rechts, bevor Sie die Straße überqueren, wenn die grüne Ampel aufleuchtet."
Verkehr,"Gehen Sie langsam und schauen Sie sich um, wenn Sie die Straße überqueren."
Verkehrsunfall,"Beim Überqueren der Straße anhalten und prüfen, ob Autos kommen."
Verkehrsunfall,"Bitten Sie einen Erwachsenen um Hilfe, falls der Ball auf die Straße rollt."
Verkehrssicherheit,Beim Gehen immer geradeaus schauen.
Verkehrssicherheit,"Vergewissern Sie sich, dass das Auto angehalten hat, heben Sie die Hand und gehen Sie über die Straße."
Verkehrssicherheit,Schauen Sie am Zebrastreifen nach links und rechts und überqueren Sie die Straße sicher.
Rauchen verboten,"Wenn Sie Zigarettenrauch sehen, halten Sie sich die Nase zu und halten Sie großen Abstand."
Rauchen verboten,"Sagen Sie deutlich, dass Sie Zigaretten nicht mögen, da diese schädlich für Ihren Körper sind."
Erpressung von Geld und Wertgegenständen,"Wenden Sie sich sofort an Ihre Lehrkraft, wenn Sie Hilfe benötigen."
Husten,"Es ist rücksichtsvoll, beim Husten den Mund mit dem Ärmel zu bedecken."
Klimakrise,Abfall reduzieren und Strom sparen für den Planeten
Einklemmunfall,"Achten Sie darauf, dass Ihre Hände nicht in Tür- oder Treppenspalten eingeklemmt werden."
spielen,Sich gegenseitig nett behandeln und dabei abwechselnd spielen
Vergnügungspark,Beim Fahren sollten Sie Ihren Sicherheitsgurt mit einem Klick befestigen.
Fahrgeschäfte,Überprüfen Sie die Sicherheitsvorrichtungen vor der Abfahrt gründlich.
Spielplatz,Rutsche im Sitzen.
verschneiter Tag,Nehmen Sie die Hände aus den Taschen und gehen Sie vorsichtig auf verschneiten Straßen.
Reduzieren Sie Ihren Zuckerkonsum.,Trink kaltes Wasser statt süßer Getränke
Evakuierungsroute,Achten Sie im Voraus auf die Notausgangsschilder.
Glücksspiel,"Spiele, bei denen es um Geld geht, sind gefährlich, also spielt sie nicht."
Glücksspiel,"Lieber mit Freunden spielen, als Geld zu verwetten"
Grippe,Waschen Sie sich häufig die Hände und tragen Sie zu Ihrem Schutz eine Maske.
Giftschlange,"Sollten Sie in den Bergen eine Schlange sehen, entfernen Sie sich leise, um ihr auszuweichen."
Tier,Auch niedliche Tiere sollte man nicht achtlos anfassen; man sollte sie einfach nur mit den Augen betrachten.
Tierschutz,Nähern Sie sich nicht unbekannten Tieren.
Der Schulweg,Gehe auf dem sicheren Gehweg zur Schule.
Der Schulweg,Legen Sie Ihr Smartphone beim Spazierengehen mal eine Weile weg.
Auf dem Schulweg,Gehen Sie auf sicheren Wegen fernab von Straßen.
Mobbing,Sich mit allen Freunden gut verstehen
Mobbing unter Gleichaltrigen,Behandle deine Freunde mit Respekt und versteht euch gut.
heiße Sachen,"Heiße Speisen vor dem Verzehr vorsichtig anpusten, um sie abzukühlen."
Malbeom,Waschen Sie sich nach dem Berühren von Tieren gründlich die Hände.
Steckdosenleiste,Nutzen Sie Steckdosen nur so oft wie nötig.
Türklemme,"Achten Sie beim Schließen der Tür darauf, dass Ihre Finger nicht eingeklemmt werden."
Herabfallende Gegenstände,"Bitten Sie einen Erwachsenen, Gegenstände von hohen Orten herunterzuholen."
Wasserspiele,Tragen Sie beim Spielen im Wasser eine stabile Schwimmweste.
Wasserspiele,Spielen Sie nur in sicheren Bereichen im Wasser und meiden Sie tiefes Wasser.
Wasserspiele,Schwimmen Sie nicht in Gebieten mit starker Strömung.
Feinstaub,Tragen Sie an Tagen mit schlechter Luftqualität eine Maske und bleiben Sie gesund.
Künstlerbedarf,Scheren und Messer gehören nach Gebrauch wieder an ihren Platz.
Kunstraum,Tragen Sie beim Durchführen von Experimenten eine Schutzbrille und schützen Sie Ihre Augen.
vermisstes Kind Unfall,"Wenn du deine Eltern verlierst, warte an diesem Ort."
Meerwasserspiele,Achten Sie nur auf Bereiche mit starkem Wellengang und betreten Sie diese nicht.
Freiwasserschwimmen,Beim Spielen im Meer immer eine Schwimmweste tragen
Haustiere,"Fragen Sie den Besitzer, bevor Sie das Tier anfassen."
Urlaub,"Geh früh ins Bett und steh früh auf, auch im Urlaub."
Feuerschutzrollladen,Gehen Sie nicht unter dem sich senkenden Rollladen hindurch.
Bus,"Wenn Sie mit dem Bus fahren, stellen Sie sich in eine einzelne Schlange und warten Sie, bis Sie an der Reihe sind."
Einsteigen in den Bus,"Wenn der Bus vollständig zum Stehen kommt, steigen Sie langsam ein und aus."
Bienenstich,"Wenn Sie eine Biene sehen, stören Sie sie nicht und gehen Sie ihr ruhig aus dem Weg."
gehen,Gehen Sie selbstbewusst auf dem sicheren Gehweg statt auf der Straße.
Fußgängersicherheit,Schauen Sie während des Gehens nicht auf Ihr Handy.
Frühlingswanderungen,"Tragen Sie lange Kleidung und achten Sie auf Insekten, wenn Sie in die Berge gehen."
Mit dem Feuer spielen,Feuerzeuge und Streichhölzer sind nur für Erwachsene.
